OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL478	1	1	1	0	1	yes	no	yes	no	yes	48	1.33	36
ORTHOMCL479	1	1	1	1	1	no	yes	no	yes	yes	140	3.89	36
ORTHOMCL480	1	1	1	1	1	yes	yes	yes	yes	yes	124	2.43	51
ORTHOMCL481	1	1	1	1	1	no	yes	yes	no	yes	85	1.73	49
ORTHOMCL482	1	1	1	1	1	yes	no	no	yes	yes	56	1.17	48
ORTHOMCL484	1	1	1	1	1	yes	no	yes	yes	yes	104	2.08	50
ORTHOMCL485	0	1	0	1	1	no	no	no	no	yes	158	6.87	23
ORTHOMCL486	1	1	1	1	1	yes	no	yes	yes	yes	112	2.24	50
ORTHOMCL487	1	1	1	1	1	yes	yes	yes	no	yes	58	1.16	50
ORTHOMCL488	1	1	1	1	1	yes	no	yes	yes	yes	111	2.22	50
ORTHOMCL489	1	1	1	1	1	no	yes	yes	yes	yes	92	1.84	50
ORTHOMCL490	1	1	1	1	1	yes	yes	yes	yes	yes	112	2.20	51
ORTHOMCL491	1	1	1	1	1	yes	no	yes	no	yes	70	1.46	48
ORTHOMCL492	1	1	1	1	1	yes	no	yes	yes	yes	79	1.58	50
ORTHOMCL493	1	1	1	1	1	yes	no	yes	yes	yes	112	2.33	48
ORTHOMCL494	1	1	1	1	1	yes	no	yes	yes	yes	136	3.02	45
ORTHOMCL496	1	1	1	0	1	yes	yes	yes	no	yes	47	1.24	38
ORTHOMCL497	1	1	1	1	1	no	no	yes	yes	yes	89	2.07	43
ORTHOMCL498	1	1	1	1	1	no	no	yes	yes	yes	133	2.71	49
ORTHOMCL500	1	1	1	1	1	yes	no	no	no	yes	149	3.39	44
ORTHOMCL501	1	1	1	1	1	yes	yes	yes	yes	yes	59	1.16	51
ORTHOMCL502	1	1	1	1	1	no	no	yes	no	yes	63	1.80	35
ORTHOMCL503	1	1	1	1	1	yes	yes	yes	yes	yes	129	2.53	51
ORTHOMCL504	1	1	1	1	1	no	no	no	no	yes	155	3.97	39
ORTHOMCL506	1	1	1	1	1	yes	no	yes	yes	yes	42	1.14	37
ORTHOMCL507	1	1	1	1	1	no	yes	yes	yes	yes	109	2.18	50
ORTHOMCL508	1	1	1	1	1	yes	no	no	no	yes	87	1.89	46
ORTHOMCL509	1	1	1	1	1	yes	yes	yes	yes	yes	113	2.22	51
ORTHOMCL511	1	1	1	1	1	no	yes	yes	no	yes	58	1.18	49
ORTHOMCL512	1	1	1	1	1	yes	yes	yes	yes	yes	112	2.20	51
ORTHOMCL513	1	1	1	1	1	yes	yes	yes	yes	yes	138	2.71	51
ORTHOMCL515	1	1	1	1	1	yes	yes	yes	yes	yes	111	2.18	51
ORTHOMCL517	1	1	1	1	1	yes	no	yes	no	yes	140	3.41	41
ORTHOMCL518	1	1	1	0	1	no	no	yes	no	yes	35	1.59	22
ORTHOMCL520	1	1	1	1	1	yes	no	yes	no	yes	64	1.33	48
ORTHOMCL521	1	1	1	1	1	no	yes	yes	yes	yes	90	1.80	50
ORTHOMCL522	1	1	1	1	1	yes	yes	yes	yes	yes	62	1.22	51
ORTHOMCL523	1	1	1	1	1	yes	no	no	no	yes	40	1.11	36
ORTHOMCL524	1	1	1	0	1	no	no	no	no	yes	50	1.92	26
ORTHOMCL525	1	1	1	1	1	yes	no	yes	yes	yes	40	1.08	37
ORTHOMCL526	1	1	1	1	1	yes	yes	yes	no	yes	155	3.10	50
ORTHOMCL527	1	1	1	1	1	no	no	yes	no	yes	49	1.07	46
ORTHOMCL529	1	1	1	1	1	yes	no	yes	no	yes	45	1.18	38
ORTHOMCL530	1	1	1	1	1	yes	yes	yes	no	yes	110	2.20	50
ORTHOMCL531	1	1	1	1	1	no	no	no	yes	yes	124	3.26	38
ORTHOMCL532	1	1	1	1	1	no	no	no	no	yes	94	2.29	41
ORTHOMCL533	1	0	1	0	1	yes	no	no	no	yes	28	1.27	22
ORTHOMCL534	1	1	1	1	1	yes	yes	yes	yes	yes	134	2.63	51
ORTHOMCL535	1	1	1	1	1	yes	no	no	no	yes	124	2.64	47
ORTHOMCL536	1	1	1	1	1	yes	no	yes	no	yes	79	1.68	47
ORTHOMCL537	1	1	1	1	1	no	no	yes	no	yes	76	1.62	47
ORTHOMCL539	1	1	1	1	1	yes	yes	yes	yes	yes	113	2.22	51
ORTHOMCL540	1	1	1	1	1	yes	no	yes	no	yes	40	1.11	36
ORTHOMCL541	1	1	1	1	1	yes	no	yes	yes	yes	137	3.34	41
ORTHOMCL542	1	1	1	1	1	yes	no	yes	yes	yes	93	1.90	49
ORTHOMCL543	1	1	1	1	1	yes	yes	yes	no	yes	127	2.54	50
ORTHOMCL544	1	1	1	1	1	yes	yes	yes	yes	yes	57	1.12	51
ORTHOMCL545	1	1	1	1	1	no	yes	yes	yes	yes	93	1.86	50
ORTHOMCL546	1	1	1	1	1	yes	yes	yes	yes	yes	114	2.24	51
ORTHOMCL547	1	1	1	1	1	yes	no	yes	yes	yes	129	2.58	50
ORTHOMCL549	1	1	1	1	1	no	yes	yes	no	yes	49	1.20	41
ORTHOMCL550	1	1	1	1	1	yes	no	yes	yes	yes	108	2.16	50
ORTHOMCL551	1	1	1	1	1	yes	yes	yes	yes	yes	119	2.33	51
ORTHOMCL552	1	1	1	1	1	yes	no	yes	no	yes	87	1.78	49
ORTHOMCL553	1	1	1	1	1	yes	yes	yes	no	yes	138	2.76	50
ORTHOMCL554	1	1	1	1	1	yes	no	yes	yes	yes	105	2.14	49
ORTHOMCL555	1	1	1	1	1	yes	yes	yes	no	yes	124	2.48	50
ORTHOMCL557	1	1	1	1	1	yes	no	yes	no	yes	48	1.04	46
ORTHOMCL559	1	1	1	1	1	yes	no	yes	no	yes	55	1.12	49
ORTHOMCL560	1	1	1	1	1	yes	yes	yes	yes	yes	121	2.37	51
ORTHOMCL561	1	1	1	1	1	yes	yes	yes	yes	yes	85	1.67	51
ORTHOMCL562	1	1	1	1	1	yes	yes	yes	no	yes	108	2.16	50
ORTHOMCL563	1	1	1	1	1	yes	yes	yes	yes	yes	76	1.49	51
ORTHOMCL564	1	1	1	1	1	yes	yes	yes	yes	yes	106	2.08	51
ORTHOMCL565	1	1	1	1	1	yes	yes	yes	no	yes	85	1.77	48
ORTHOMCL566	1	1	1	1	1	yes	yes	yes	yes	yes	143	2.80	51
ORTHOMCL567	1	1	1	1	1	no	no	no	no	yes	63	1.43	44
ORTHOMCL568	1	1	1	1	1	yes	no	yes	no	yes	77	1.60	48
ORTHOMCL569	1	1	1	1	1	no	no	yes	yes	yes	89	1.82	49
ORTHOMCL570	1	1	1	1	1	yes	yes	yes	yes	yes	129	2.53	51
ORTHOMCL571	1	1	1	1	1	yes	yes	yes	no	yes	115	2.50	46
ORTHOMCL572	1	1	1	1	1	no	yes	no	no	yes	67	1.46	46
ORTHOMCL573	1	1	1	1	1	no	no	yes	yes	yes	46	1.24	37
ORTHOMCL574	1	1	1	1	1	yes	no	yes	no	yes	41	1.11	37
ORTHOMCL575	1	1	1	1	1	yes	yes	yes	yes	yes	118	2.31	51
ORTHOMCL576	1	1	0	1	1	no	no	no	no	yes	29	1.12	26
ORTHOMCL577	1	1	1	0	1	yes	no	yes	no	yes	45	1.22	37
ORTHOMCL579	1	1	1	0	1	yes	no	yes	no	yes	52	1.68	31
ORTHOMCL580	1	1	1	1	1	yes	no	yes	yes	yes	87	1.74	50
ORTHOMCL581	1	1	1	1	1	yes	no	yes	no	yes	123	2.51	49
ORTHOMCL583	1	1	1	1	1	yes	no	no	yes	yes	126	3.41	37
ORTHOMCL584	1	1	1	1	1	no	yes	yes	yes	yes	118	2.36	50
ORTHOMCL585	1	1	1	1	1	yes	yes	yes	yes	yes	95	1.86	51
ORTHOMCL587	1	1	1	1	1	no	no	yes	no	yes	125	3.47	36
ORTHOMCL588	1	1	1	1	1	yes	yes	yes	yes	yes	133	2.61	51
ORTHOMCL590	1	1	1	1	1	no	no	no	yes	yes	138	4.76	29
ORTHOMCL592	1	1	1	1	1	yes	yes	no	no	yes	71	1.48	48
ORTHOMCL593	1	1	1	1	1	no	no	yes	yes	yes	61	1.24	49
ORTHOMCL594	1	1	1	1	1	yes	yes	yes	yes	yes	71	1.39	51
ORTHOMCL595	1	1	1	1	1	yes	no	yes	yes	yes	89	1.78	50
ORTHOMCL596	1	1	1	0	1	no	yes	yes	no	yes	53	1.43	37
ORTHOMCL597	1	1	1	1	1	no	yes	yes	yes	yes	119	2.38	50
ORTHOMCL598	1	1	1	1	1	yes	no	yes	no	yes	91	1.86	49
ORTHOMCL599	1	1	1	1	1	yes	yes	yes	yes	yes	120	2.35	51
ORTHOMCL601	1	1	1	1	1	yes	yes	yes	yes	yes	124	2.43	51
ORTHOMCL603	1	1	1	1	1	yes	no	yes	yes	yes	74	1.51	49
ORTHOMCL604	1	1	1	1	1	yes	yes	yes	yes	yes	129	2.53	51
ORTHOMCL605	1	1	1	1	1	yes	yes	yes	yes	yes	134	2.63	51
ORTHOMCL606	1	1	1	1	1	yes	yes	yes	yes	yes	63	1.24	51
ORTHOMCL607	1	1	1	1	1	no	yes	no	yes	yes	149	3.82	39
ORTHOMCL608	1	1	1	1	1	yes	no	yes	yes	yes	58	1.16	50
ORTHOMCL609	1	1	1	1	1	no	yes	no	yes	yes	103	2.10	49
ORTHOMCL612	1	1	1	1	1	yes	no	no	yes	yes	72	2.00	36
ORTHOMCL613	1	1	1	1	1	yes	yes	yes	yes	yes	65	1.27	51
ORTHOMCL614	1	1	1	1	1	yes	no	yes	no	yes	47	1.31	36
ORTHOMCL615	1	1	1	1	1	no	yes	yes	no	yes	116	2.37	49
ORTHOMCL616	1	1	1	1	1	yes	yes	yes	no	yes	68	1.36	50
ORTHOMCL618	1	1	1	1	1	yes	yes	yes	yes	yes	73	1.43	51
ORTHOMCL619	1	1	1	1	1	no	no	yes	yes	yes	85	1.73	49
ORTHOMCL620	1	1	1	1	1	yes	yes	yes	yes	yes	113	2.22	51
ORTHOMCL621	1	1	1	1	1	no	yes	no	yes	yes	47	1.04	45
ORTHOMCL622	1	1	1	1	1	yes	yes	yes	no	yes	113	2.83	40
