OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL378	0	0	1	0	1	no	no	yes	no	yes	50	1.11	45
ORTHOMCL379	1	1	1	1	1	yes	yes	yes	yes	yes	161	3.16	51
ORTHOMCL380	1	1	1	0	1	yes	yes	yes	no	yes	56	1.17	48
ORTHOMCL381	0	0	1	0	1	no	no	yes	no	yes	96	2.04	47
ORTHOMCL382	1	1	1	1	1	yes	yes	yes	yes	yes	77	1.51	51
ORTHOMCL383	1	0	1	1	1	yes	no	yes	yes	yes	123	3.32	37
ORTHOMCL384	1	1	1	1	1	yes	yes	yes	yes	yes	135	2.65	51
ORTHOMCL385	0	0	0	0	1	no	no	no	no	yes	172	5.38	32
ORTHOMCL386	1	0	0	0	1	yes	no	no	no	yes	19	1.90	10
ORTHOMCL387	0	1	0	1	1	no	yes	no	yes	yes	137	3.04	45
ORTHOMCL388	0	1	1	1	1	no	yes	yes	yes	yes	98	2.33	42
ORTHOMCL389	1	1	1	1	1	yes	yes	yes	yes	yes	141	2.76	51
ORTHOMCL390	1	1	1	1	1	yes	yes	yes	yes	yes	153	3.00	51
ORTHOMCL391	1	1	1	1	1	yes	yes	yes	yes	yes	128	2.51	51
ORTHOMCL392	1	1	1	0	1	yes	yes	yes	no	yes	97	1.94	50
ORTHOMCL393	1	1	1	1	1	yes	yes	yes	yes	yes	111	2.18	51
ORTHOMCL394	0	0	1	1	1	no	no	yes	yes	yes	155	3.37	46
ORTHOMCL395	1	1	1	1	1	yes	yes	yes	yes	yes	72	1.41	51
ORTHOMCL396	1	1	0	1	1	yes	yes	no	yes	yes	63	1.26	50
ORTHOMCL397	1	1	1	1	1	yes	yes	yes	yes	yes	120	2.35	51
ORTHOMCL398	1	0	1	1	1	yes	no	yes	yes	yes	119	2.38	50
ORTHOMCL399	1	1	1	0	1	yes	yes	yes	no	yes	134	2.79	48
ORTHOMCL400	1	1	1	1	1	yes	yes	yes	yes	yes	65	1.27	51
ORTHOMCL402	0	0	1	0	1	no	no	yes	no	yes	59	1.31	45
ORTHOMCL403	0	0	1	0	1	no	no	yes	no	yes	38	1.73	22
ORTHOMCL404	1	0	0	1	1	yes	no	no	yes	yes	134	4.19	32
ORTHOMCL407	1	1	1	1	1	yes	yes	yes	yes	yes	74	1.45	51
ORTHOMCL408	1	0	1	1	1	yes	no	yes	yes	yes	103	2.45	42
ORTHOMCL409	1	1	1	1	1	yes	yes	yes	yes	yes	152	2.98	51
ORTHOMCL410	1	1	1	1	1	yes	yes	yes	yes	yes	126	2.47	51
ORTHOMCL411	1	0	1	1	1	yes	no	yes	yes	yes	107	2.18	49
ORTHOMCL412	1	0	1	1	1	yes	no	yes	yes	yes	57	1.14	50
ORTHOMCL413	1	1	1	1	1	yes	yes	yes	yes	yes	68	1.33	51
ORTHOMCL414	1	0	0	0	1	yes	no	no	no	yes	48	1.30	37
ORTHOMCL415	1	1	1	1	1	yes	yes	yes	yes	yes	60	1.18	51
ORTHOMCL416	0	0	1	1	1	no	no	yes	yes	yes	57	1.21	47
ORTHOMCL417	1	1	0	1	1	yes	yes	no	yes	yes	106	2.41	44
ORTHOMCL418	1	0	1	0	1	yes	no	yes	no	yes	48	1.14	42
ORTHOMCL419	1	0	0	1	1	yes	no	no	yes	yes	144	3.43	42
ORTHOMCL420	1	1	0	0	1	yes	yes	no	no	yes	92	1.92	48
ORTHOMCL421	1	1	0	0	1	yes	yes	no	no	yes	100	2.04	49
ORTHOMCL422	1	1	1	1	1	yes	yes	yes	yes	yes	81	1.59	51
ORTHOMCL423	1	1	1	1	1	yes	yes	yes	yes	yes	59	1.16	51
ORTHOMCL424	0	1	0	1	1	no	yes	no	yes	yes	96	2.00	48
ORTHOMCL425	0	0	1	1	1	no	no	yes	yes	yes	60	1.22	49
ORTHOMCL426	1	1	1	1	1	yes	yes	yes	yes	yes	68	1.33	51
ORTHOMCL427	1	1	1	1	1	yes	yes	yes	yes	yes	76	1.49	51
ORTHOMCL428	1	1	1	1	1	yes	yes	yes	yes	yes	77	1.51	51
ORTHOMCL429	1	1	1	1	1	yes	yes	yes	yes	yes	107	2.10	51
ORTHOMCL430	1	0	1	1	1	yes	no	yes	yes	yes	149	3.47	43
ORTHOMCL431	0	1	1	1	1	no	yes	yes	yes	yes	126	2.52	50
ORTHOMCL432	1	1	1	0	1	yes	yes	yes	no	yes	74	1.48	50
ORTHOMCL433	0	0	0	1	1	no	no	no	yes	yes	63	3.94	16
ORTHOMCL434	1	1	1	1	1	yes	yes	yes	yes	yes	132	2.59	51
ORTHOMCL437	1	1	1	1	1	yes	yes	yes	yes	yes	157	3.08	51
ORTHOMCL438	1	0	1	0	1	yes	no	yes	no	yes	89	2.23	40
ORTHOMCL440	1	1	1	1	1	yes	yes	yes	yes	yes	132	2.59	51
ORTHOMCL442	0	0	0	0	1	no	no	no	no	yes	19	1.27	15
ORTHOMCL443	1	1	1	1	1	yes	yes	yes	yes	yes	119	2.33	51
ORTHOMCL444	1	0	0	0	1	yes	no	no	no	yes	55	1.20	46
ORTHOMCL445	1	1	1	1	1	yes	yes	yes	yes	yes	126	2.47	51
ORTHOMCL446	0	1	0	1	1	no	yes	no	yes	yes	138	3.83	36
ORTHOMCL447	0	1	1	1	1	no	yes	yes	yes	yes	83	1.66	50
ORTHOMCL448	1	0	1	1	1	yes	no	yes	yes	yes	75	1.79	42
ORTHOMCL449	1	1	1	1	1	yes	yes	yes	yes	yes	126	2.47	51
ORTHOMCL450	1	1	1	1	1	yes	yes	yes	yes	yes	94	1.84	51
ORTHOMCL451	1	0	1	1	1	yes	no	yes	yes	yes	153	3.56	43
ORTHOMCL453	1	1	1	0	1	yes	yes	yes	no	yes	105	2.10	50
ORTHOMCL454	1	1	1	0	1	yes	yes	yes	no	yes	114	3.00	38
ORTHOMCL455	1	0	1	0	1	yes	no	yes	no	yes	63	1.31	48
ORTHOMCL456	1	1	1	1	1	yes	yes	yes	yes	yes	123	2.41	51
ORTHOMCL457	1	1	1	1	1	yes	yes	yes	yes	yes	70	1.37	51
ORTHOMCL458	1	1	1	1	1	yes	yes	yes	yes	yes	121	2.37	51
ORTHOMCL459	1	0	1	0	1	yes	no	yes	no	yes	83	1.98	42
ORTHOMCL460	1	1	1	1	1	yes	yes	yes	yes	yes	164	3.22	51
ORTHOMCL461	0	0	1	1	1	no	no	yes	yes	yes	75	1.53	49
ORTHOMCL462	1	1	1	1	1	yes	yes	yes	yes	yes	112	2.20	51
ORTHOMCL463	1	0	0	0	1	yes	no	no	no	yes	104	2.36	44
ORTHOMCL464	1	1	1	1	1	yes	yes	yes	yes	yes	139	2.73	51
ORTHOMCL465	1	1	1	1	1	yes	yes	yes	yes	yes	66	1.29	51
ORTHOMCL466	0	0	0	0	1	no	no	no	no	yes	149	7.45	20
ORTHOMCL468	0	0	0	1	1	no	no	no	yes	yes	130	4.81	27
ORTHOMCL469	0	1	1	1	1	no	yes	yes	yes	yes	104	2.08	50
ORTHOMCL470	1	0	1	1	1	yes	no	yes	yes	yes	80	1.60	50
ORTHOMCL471	0	1	1	1	1	no	yes	yes	yes	yes	125	2.50	50
ORTHOMCL472	1	1	1	1	1	yes	yes	yes	yes	yes	150	2.94	51
ORTHOMCL473	1	1	1	1	1	yes	yes	yes	yes	yes	118	2.31	51
ORTHOMCL474	1	1	1	1	1	yes	yes	yes	yes	yes	98	1.92	51
ORTHOMCL475	0	0	1	0	1	no	no	yes	no	yes	38	1.12	34
ORTHOMCL477	0	0	0	1	1	no	no	no	yes	yes	53	1.15	46
ORTHOMCL478	1	0	1	0	1	yes	no	yes	no	yes	48	1.33	36
ORTHOMCL479	0	1	0	1	1	no	yes	no	yes	yes	141	3.92	36
ORTHOMCL480	1	1	1	1	1	yes	yes	yes	yes	yes	124	2.43	51
ORTHOMCL481	0	1	1	0	1	no	yes	yes	no	yes	85	1.73	49
ORTHOMCL482	1	0	0	1	1	yes	no	no	yes	yes	56	1.17	48
ORTHOMCL484	1	0	1	1	1	yes	no	yes	yes	yes	104	2.08	50
