spleen-down	liver-down
MSTRG.28456	
MSTRG.15659	
MSTRG.24983	
MSTRG.626	
MSTRG.8859	
MSTRG.54239	
MSTRG.37261	
MSTRG.3159	
MSTRG.37616	
MSTRG.54184	
MSTRG.54900	
MSTRG.43746	
MSTRG.27509	
MSTRG.31775	
MSTRG.41012	
MSTRG.1745	
MSTRG.15056	
MSTRG.910	
MSTRG.10292	
MSTRG.25197	
MSTRG.10509	
MSTRG.5829	
MSTRG.52102	
MSTRG.38259	
MSTRG.45657	
MSTRG.52036	
MSTRG.54163	
MSTRG.38393	
MSTRG.20666	
MSTRG.30576	
MSTRG.8747	
MSTRG.21102	
MSTRG.18555	
MSTRG.28444	
MSTRG.10508	
MSTRG.17732	
MSTRG.924	
MSTRG.926	
MSTRG.38613	
MSTRG.23804	
MSTRG.11254	
MSTRG.1434	
MSTRG.5827	
MSTRG.22780	
MSTRG.328	
MSTRG.585	
MSTRG.38421	
MSTRG.42494	
MSTRG.22798	
MSTRG.10959	
MSTRG.52598	
MSTRG.10359	
MSTRG.31835	
MSTRG.10275	
MSTRG.22825	
MSTRG.19003	
MSTRG.37210	
MSTRG.2832	
MSTRG.22122	
MSTRG.25537	
MSTRG.23384	
MSTRG.935	
MSTRG.15514	
MSTRG.35378	
MSTRG.879	
MSTRG.9684	
MSTRG.26496	
MSTRG.42476	
MSTRG.932	
MSTRG.47076	
MSTRG.2004	
MSTRG.322	
MSTRG.13426	
MSTRG.37994	
MSTRG.22379	
MSTRG.12827	
MSTRG.40930	
MSTRG.15596	
MSTRG.52611	
MSTRG.2714	
MSTRG.34115	
MSTRG.10005	
MSTRG.24779	
MSTRG.323	
MSTRG.10503	
MSTRG.36904	
MSTRG.29013	
MSTRG.42491	
MSTRG.49790	
MSTRG.26084	
MSTRG.45721	
MSTRG.30599	
MSTRG.22126	
MSTRG.44933	
MSTRG.50444	
MSTRG.19396	
MSTRG.37840	
MSTRG.47286	
MSTRG.7699	
MSTRG.44704	
MSTRG.30928	
MSTRG.7771	
MSTRG.16698	
MSTRG.41709	
MSTRG.10481	
MSTRG.2202	
MSTRG.43160	
MSTRG.10123	
MSTRG.49598	
MSTRG.20322	
MSTRG.10472	
MSTRG.25257	
MSTRG.38388	
MSTRG.43766	
MSTRG.43215	
MSTRG.3130	
MSTRG.46424	
MSTRG.19219	
MSTRG.38386	
MSTRG.49616	
MSTRG.31776	
MSTRG.38552	
MSTRG.47657	
MSTRG.22520	
MSTRG.19667	
MSTRG.32067	
MSTRG.28386	
MSTRG.25257	
MSTRG.37130	
MSTRG.922	
MSTRG.55097	
MSTRG.11064	
MSTRG.5319	
MSTRG.14878	
MSTRG.2019	
MSTRG.34684	
MSTRG.14061	
MSTRG.4930	
MSTRG.43438	
MSTRG.7718	
MSTRG.26079	
MSTRG.19090	
MSTRG.48618	
MSTRG.3443	
MSTRG.18068	
MSTRG.10507	
MSTRG.37839	
MSTRG.53330	
MSTRG.10470	
MSTRG.29875	
MSTRG.9202	
MSTRG.13214	
MSTRG.28988	
MSTRG.50078	
MSTRG.40991	
MSTRG.31280	
MSTRG.38599	
MSTRG.923	
MSTRG.37202	
MSTRG.3720	
MSTRG.28455	
MSTRG.934	
MSTRG.36906	
MSTRG.39756	
MSTRG.32189	
MSTRG.18180	
MSTRG.54153	
MSTRG.1727	
MSTRG.9626	
MSTRG.50293	
MSTRG.28748	
MSTRG.25339	
MSTRG.900	
MSTRG.24985	
MSTRG.43354	
MSTRG.857	
MSTRG.32425	
MSTRG.21688	
MSTRG.7173	
MSTRG.49791	
MSTRG.8336	
MSTRG.2257	
MSTRG.46712	
MSTRG.12830	
MSTRG.32346	
MSTRG.41925	
MSTRG.19707	
MSTRG.5595	
MSTRG.28082	
MSTRG.35546	
MSTRG.26693	
MSTRG.31837	
MSTRG.10494	
MSTRG.2020	
MSTRG.33948	
MSTRG.38599	
MSTRG.2843	
MSTRG.26057	
MSTRG.44318	
MSTRG.44561	
MSTRG.37998	
MSTRG.32691	
MSTRG.15579	
MSTRG.8743	
MSTRG.9631	
MSTRG.36905	
MSTRG.7711	
MSTRG.49793	
MSTRG.8309	
MSTRG.15875	
MSTRG.34549	
MSTRG.11554	
MSTRG.36397	
MSTRG.2471	
MSTRG.14876	
MSTRG.42495	
MSTRG.1272	
MSTRG.39786	
MSTRG.918	
MSTRG.27057	
MSTRG.21514	
MSTRG.29005	
MSTRG.1106	
MSTRG.36922	
MSTRG.25200	
MSTRG.24114	
MSTRG.12292	
MSTRG.49792	
MSTRG.9957	
MSTRG.42228	
MSTRG.50331	
MSTRG.3095	
MSTRG.54149	
MSTRG.31777	
MSTRG.37838	
MSTRG.8335	
MSTRG.24321	
MSTRG.28265	
MSTRG.13190	
MSTRG.37994	
MSTRG.12310	
MSTRG.22820	
MSTRG.39306	
MSTRG.51764	
MSTRG.13228	
MSTRG.3830	
MSTRG.44630	
MSTRG.25788	
