spleen-down	liver-down
MSTRG.24310	MSTRG.5163
MSTRG.10632	MSTRG.49032
MSTRG.34154	MSTRG.3550
MSTRG.52910	MSTRG.28525
MSTRG.2134	MSTRG.54449
MSTRG.12891	MSTRG.53544
MSTRG.32161	MSTRG.33460
MSTRG.16569	MSTRG.22529
MSTRG.619	MSTRG.48905
MSTRG.5171	MSTRG.45426
MSTRG.4378	MSTRG.44823
MSTRG.39560	MSTRG.17252
MSTRG.33746	MSTRG.32007
MSTRG.10020	MSTRG.47918
MSTRG.38171	MSTRG.35048
MSTRG.28677	MSTRG.46238
MSTRG.1725	MSTRG.12924
MSTRG.41472	MSTRG.22060
MSTRG.44614	MSTRG.21079
MSTRG.52096	MSTRG.29745
MSTRG.45111	MSTRG.32452
MSTRG.48193	MSTRG.32453
MSTRG.35077	MSTRG.9966
MSTRG.19137	MSTRG.4171
MSTRG.31169	MSTRG.16725
MSTRG.45117	MSTRG.13878
MSTRG.15858	MSTRG.50527
MSTRG.12370	MSTRG.20674
MSTRG.41919	MSTRG.10324
MSTRG.23092	MSTRG.45927
MSTRG.34333	MSTRG.5601
MSTRG.9607	MSTRG.34121
MSTRG.30664	MSTRG.10348
MSTRG.29894	MSTRG.39200
MSTRG.10370	MSTRG.51662
MSTRG.39340	MSTRG.50147
MSTRG.42734	MSTRG.55875
MSTRG.16325	MSTRG.18107
MSTRG.11536	MSTRG.20766
MSTRG.51430	MSTRG.23943
MSTRG.44281	MSTRG.41945
MSTRG.28281	MSTRG.30171
MSTRG.22795	MSTRG.54461
MSTRG.20028	MSTRG.8916
MSTRG.52760	MSTRG.558
MSTRG.43435	MSTRG.37539
MSTRG.3802	MSTRG.37961
MSTRG.24986	MSTRG.33791
MSTRG.19750	MSTRG.9333
MSTRG.16400	MSTRG.44365
MSTRG.54431	MSTRG.28965
MSTRG.31275	MSTRG.54272
MSTRG.16302	MSTRG.7118
MSTRG.16011	MSTRG.27696
MSTRG.52600	MSTRG.46449
MSTRG.10543	MSTRG.28546
MSTRG.16884	MSTRG.43641
MSTRG.23654	MSTRG.44670
MSTRG.11665	MSTRG.46649
MSTRG.27390	MSTRG.25771
MSTRG.25681	MSTRG.38231
MSTRG.16202	MSTRG.51067
MSTRG.39743	MSTRG.37144
MSTRG.1996	MSTRG.1836
MSTRG.31306	MSTRG.46606
MSTRG.43341	MSTRG.24147
MSTRG.48203	MSTRG.27927
MSTRG.14926	MSTRG.50864
MSTRG.30474	MSTRG.24950
MSTRG.25274	MSTRG.1643
