spleen-up	liver-up
MSTRG.37875	
MSTRG.23023	
MSTRG.9269	
MSTRG.43192	
MSTRG.45104	
MSTRG.5789	
MSTRG.22471	
MSTRG.45289	
MSTRG.55816	
MSTRG.46997	
MSTRG.45104	
MSTRG.1439	
MSTRG.44224	
MSTRG.55820	
MSTRG.50821	
MSTRG.18007	
MSTRG.55849	
MSTRG.6586	
MSTRG.47192	
MSTRG.37318	
MSTRG.44879	
MSTRG.54738	
MSTRG.3716	
MSTRG.33897	
MSTRG.27048	
MSTRG.49370	
MSTRG.3015	
MSTRG.54743	
MSTRG.33093	
MSTRG.55703	
MSTRG.9133	
MSTRG.21113	
MSTRG.51270	
MSTRG.27123	
MSTRG.50654	
MSTRG.37965	
MSTRG.683	
MSTRG.19651	
MSTRG.55675	
MSTRG.33841	
MSTRG.54757	
MSTRG.37298	
MSTRG.55729	
MSTRG.32647	
MSTRG.54777	
MSTRG.6385	
MSTRG.32225	
MSTRG.32964	
MSTRG.55541	
MSTRG.54779	
MSTRG.51105	
MSTRG.25269	
MSTRG.43648	
MSTRG.49413	
MSTRG.14853	
MSTRG.15981	
MSTRG.32893	
MSTRG.8365	
MSTRG.52902	
MSTRG.25022	
MSTRG.42022	
MSTRG.43619	
MSTRG.54308	
MSTRG.4571	
MSTRG.9466	
MSTRG.14108	
MSTRG.18236	
MSTRG.16824	
MSTRG.54774	
MSTRG.44215	
MSTRG.55905	
MSTRG.37045	
MSTRG.25434	
MSTRG.16804	
MSTRG.37295	
MSTRG.40537	
MSTRG.4418	
MSTRG.41370	
MSTRG.46086	
MSTRG.54606	
MSTRG.36961	
MSTRG.55793	
MSTRG.32214	
MSTRG.9417	
MSTRG.33521	
MSTRG.13942	
MSTRG.12844	
MSTRG.55534	
MSTRG.30793	
MSTRG.26217	
MSTRG.30150	
MSTRG.18482	
MSTRG.36768	
MSTRG.10615	
MSTRG.6879	
MSTRG.30385	
MSTRG.32227	
MSTRG.54764	
MSTRG.51455	
MSTRG.37214	
MSTRG.35954	
MSTRG.43493	
MSTRG.18400	
MSTRG.16438	
MSTRG.22976	
MSTRG.10616	
MSTRG.3713	
MSTRG.38208	
MSTRG.42001	
MSTRG.44114	
MSTRG.37388	
MSTRG.18445	
MSTRG.55534	
MSTRG.12592	
MSTRG.7868	
MSTRG.7655	
MSTRG.19420	
MSTRG.5550	
MSTRG.38806	
MSTRG.43621	
MSTRG.43615	
MSTRG.16091	
MSTRG.4516	
MSTRG.49928	
MSTRG.43619	
MSTRG.5787	
MSTRG.43484	
MSTRG.51658	
MSTRG.54677	
MSTRG.37326	
MSTRG.53013	
MSTRG.1116	
MSTRG.55877	
MSTRG.38340	
MSTRG.54751	
MSTRG.37310	
MSTRG.43619	
MSTRG.26809	
MSTRG.54783	
MSTRG.54740	
MSTRG.19012	
MSTRG.26345	
MSTRG.54678	
MSTRG.43619	
MSTRG.18473	
MSTRG.43619	
MSTRG.54739	
MSTRG.14919	
