spleen-up	liver-up
MSTRG.35870	MSTRG.44560
MSTRG.10405	MSTRG.33037
MSTRG.30544	MSTRG.38242
MSTRG.28493	MSTRG.547
MSTRG.23199	MSTRG.47435
MSTRG.28619	MSTRG.45468
MSTRG.12503	MSTRG.45763
MSTRG.3220	MSTRG.14000
MSTRG.3000	MSTRG.21825
MSTRG.32629	MSTRG.2823
MSTRG.14479	MSTRG.28650
MSTRG.55461	MSTRG.14113
MSTRG.36215	MSTRG.13371
MSTRG.26845	MSTRG.45943
MSTRG.39555	MSTRG.32031
MSTRG.35882	MSTRG.55553
MSTRG.23423	MSTRG.13370
MSTRG.35875	MSTRG.53022
MSTRG.22572	MSTRG.53339
MSTRG.35923	MSTRG.47799
MSTRG.43733	MSTRG.11370
MSTRG.34501	MSTRG.24377
MSTRG.6534	MSTRG.41988
MSTRG.21337	MSTRG.29998
MSTRG.13351	MSTRG.1481
MSTRG.18847	MSTRG.43619
MSTRG.3837	MSTRG.55630
MSTRG.14251	MSTRG.51394
MSTRG.28412	MSTRG.1577
MSTRG.34644	MSTRG.24039
MSTRG.35909	MSTRG.25728
MSTRG.34736	MSTRG.15810
MSTRG.41527	MSTRG.27132
MSTRG.32958	MSTRG.37267
MSTRG.29606	MSTRG.24828
MSTRG.27418	MSTRG.54669
MSTRG.29579	MSTRG.7720
MSTRG.54524	MSTRG.34514
MSTRG.54646	MSTRG.33497
MSTRG.44418	MSTRG.16051
MSTRG.37890	MSTRG.35991
MSTRG.42006	MSTRG.32357
MSTRG.38591	MSTRG.32975
MSTRG.47413	MSTRG.42917
MSTRG.23	MSTRG.14588
MSTRG.2093	MSTRG.55958
MSTRG.26274	MSTRG.2596
MSTRG.5477	MSTRG.6892
MSTRG.32302	MSTRG.10615
MSTRG.17735	MSTRG.32269
MSTRG.44236	MSTRG.51752
MSTRG.30448	MSTRG.25061
MSTRG.22001	MSTRG.43694
MSTRG.44229	MSTRG.46723
MSTRG.29539	MSTRG.12297
MSTRG.4778	MSTRG.40031
MSTRG.15370	MSTRG.14402
MSTRG.34839	MSTRG.3571
MSTRG.32657	MSTRG.52354
MSTRG.4838	MSTRG.19597
MSTRG.31137	MSTRG.15810
MSTRG.44772	MSTRG.15642
MSTRG.34479	MSTRG.32465
MSTRG.26103	MSTRG.15445
MSTRG.42017	MSTRG.23245
MSTRG.51374	MSTRG.7577
MSTRG.2671	MSTRG.27730
MSTRG.52492	MSTRG.26610
MSTRG.35891	MSTRG.3132
MSTRG.32207	MSTRG.1926
MSTRG.16684	MSTRG.2485
MSTRG.25986	MSTRG.33503
MSTRG.31322	MSTRG.10616
MSTRG.20585	MSTRG.10609
MSTRG.3868	MSTRG.43659
MSTRG.22073	MSTRG.55729
MSTRG.11270	MSTRG.20555
MSTRG.14051	MSTRG.22258
MSTRG.50759	MSTRG.30513
MSTRG.10333	MSTRG.55729
MSTRG.11126	MSTRG.28555
MSTRG.4314	MSTRG.8516
MSTRG.48340	MSTRG.15984
MSTRG.7575	MSTRG.49497
MSTRG.510	MSTRG.55729
MSTRG.20010	MSTRG.55628
MSTRG.34602	MSTRG.40008
MSTRG.16997	MSTRG.31301
MSTRG.50063	MSTRG.8621
MSTRG.30589	MSTRG.51055
MSTRG.48672	MSTRG.55861
MSTRG.5576	MSTRG.22725
MSTRG.43707	MSTRG.13580
MSTRG.4373	MSTRG.23262
MSTRG.32057	MSTRG.55266
MSTRG.15599	MSTRG.41924
MSTRG.21031	MSTRG.13864
MSTRG.26674	MSTRG.55729
MSTRG.52700	MSTRG.54603
MSTRG.50802	MSTRG.13238
MSTRG.33546	MSTRG.11905
MSTRG.16265	MSTRG.37045
MSTRG.45283	MSTRG.47640
MSTRG.41119	MSTRG.17233
MSTRG.21896	MSTRG.23808
MSTRG.29332	MSTRG.22290
MSTRG.46908	MSTRG.25386
MSTRG.53246	MSTRG.13370
MSTRG.42260	MSTRG.16588
MSTRG.17773	MSTRG.3300
MSTRG.34094	MSTRG.51078
MSTRG.35906	MSTRG.15810
MSTRG.23783	MSTRG.55627
MSTRG.23018	MSTRG.32198
MSTRG.33850	MSTRG.30939
MSTRG.41580	MSTRG.32498
MSTRG.38497	MSTRG.26403
MSTRG.34535	MSTRG.28965
MSTRG.22572	MSTRG.31549
MSTRG.41951	MSTRG.4248
MSTRG.34819	MSTRG.4467
MSTRG.44999	MSTRG.47375
MSTRG.6563	MSTRG.26411
MSTRG.49855	MSTRG.7868
MSTRG.49799	MSTRG.20658
MSTRG.38595	MSTRG.10619
MSTRG.2313	MSTRG.14309
MSTRG.33596	MSTRG.50909
MSTRG.53952	MSTRG.2581
MSTRG.52205	MSTRG.30043
MSTRG.42004	MSTRG.21687
MSTRG.48232	MSTRG.22943
MSTRG.55938	MSTRG.34342
MSTRG.6434	MSTRG.19305
MSTRG.50985	MSTRG.32396
MSTRG.5393	MSTRG.28421
MSTRG.11951	MSTRG.34002
MSTRG.42042	MSTRG.9269
MSTRG.36549	MSTRG.19618
MSTRG.18851	MSTRG.33749
MSTRG.43701	MSTRG.52453
MSTRG.6977	MSTRG.13157
MSTRG.18256	MSTRG.51129
MSTRG.18850	MSTRG.9567
MSTRG.38588	MSTRG.26715
MSTRG.43911	MSTRG.13604
MSTRG.17769	MSTRG.19086
MSTRG.47437	MSTRG.34342
MSTRG.34545	MSTRG.47382
MSTRG.25801	MSTRG.35029
MSTRG.44901	MSTRG.20674
MSTRG.4589	MSTRG.10618
MSTRG.32518	MSTRG.14805
MSTRG.7323	MSTRG.38269
MSTRG.55198	MSTRG.31223
MSTRG.49861	MSTRG.55632
MSTRG.21971	MSTRG.28492
MSTRG.35903	MSTRG.1603
MSTRG.27192	MSTRG.26739
MSTRG.12809	MSTRG.51710
MSTRG.35861	MSTRG.34725
MSTRG.17446	MSTRG.28759
MSTRG.32932	MSTRG.25581
MSTRG.52944	MSTRG.2550
MSTRG.26248	MSTRG.6116
MSTRG.4646	MSTRG.15810
MSTRG.55786	MSTRG.55635
MSTRG.20882	MSTRG.23513
MSTRG.28805	MSTRG.41261
MSTRG.15484	MSTRG.6383
MSTRG.6757	MSTRG.54624
MSTRG.53910	MSTRG.37049
MSTRG.54674	MSTRG.15418
MSTRG.19930	MSTRG.1342
MSTRG.30216	MSTRG.23238
MSTRG.35894	MSTRG.17126
MSTRG.55385	MSTRG.2550
MSTRG.15176	MSTRG.1342
MSTRG.19545	MSTRG.2550
MSTRG.43640	MSTRG.33302
MSTRG.53209	MSTRG.47385
MSTRG.36296	MSTRG.7406
MSTRG.39175	MSTRG.1342
MSTRG.39864	MSTRG.24905
MSTRG.1349	MSTRG.17469
MSTRG.43425	MSTRG.32227
MSTRG.3477	MSTRG.43849
MSTRG.34447	MSTRG.49950
MSTRG.3058	MSTRG.21188
MSTRG.41932	MSTRG.49950
MSTRG.31878	MSTRG.55224
MSTRG.8518	MSTRG.55633
MSTRG.2390	MSTRG.49930
MSTRG.55573	MSTRG.4672
MSTRG.34045	MSTRG.1342
MSTRG.33946	MSTRG.23073
MSTRG.31262	MSTRG.32225
MSTRG.8364	MSTRG.2051
MSTRG.18785	MSTRG.6124
MSTRG.53573	MSTRG.8322
MSTRG.53514	MSTRG.47384
MSTRG.50837	MSTRG.25023
MSTRG.18796	MSTRG.25033
MSTRG.35840	MSTRG.54622
MSTRG.23772	MSTRG.37040
MSTRG.52467	MSTRG.25022
MSTRG.26232	MSTRG.19628
MSTRG.41948	MSTRG.41449
MSTRG.13155	MSTRG.37040
MSTRG.50938	MSTRG.3940
MSTRG.20943	MSTRG.49928
MSTRG.13827	MSTRG.54792
MSTRG.42006	
MSTRG.1563	
MSTRG.21266	
MSTRG.42844	
MSTRG.55270	
MSTRG.34739	
MSTRG.22275	
MSTRG.54669	
MSTRG.28605	
MSTRG.31187	
MSTRG.23909	
MSTRG.53422	
MSTRG.47409	
MSTRG.449	
MSTRG.37798	
MSTRG.51273	
MSTRG.37168	
MSTRG.9756	
MSTRG.50059	
MSTRG.19467	
MSTRG.30818	
MSTRG.52446	
MSTRG.55672	
MSTRG.23113	
MSTRG.36661	
MSTRG.7838	
MSTRG.53241	
MSTRG.12022	
MSTRG.12500	
MSTRG.26674	
MSTRG.27605	
MSTRG.38900	
MSTRG.31230	
MSTRG.53909	
MSTRG.4377	
MSTRG.22291	
MSTRG.51616	
MSTRG.16924	
MSTRG.27336	
MSTRG.22282	
MSTRG.3844	
MSTRG.23011	
MSTRG.1326	
MSTRG.27364	
MSTRG.44347	
MSTRG.21687	
MSTRG.43641	
MSTRG.21605	
MSTRG.77	
MSTRG.32302	
MSTRG.20820	
MSTRG.54668	
MSTRG.23034	
MSTRG.11921	
MSTRG.55714	
MSTRG.40154	
MSTRG.9144	
MSTRG.50661	
MSTRG.55410	
MSTRG.45428	
MSTRG.20674	
MSTRG.15976	
MSTRG.52655	
MSTRG.34358	
MSTRG.47106	
MSTRG.21278	
MSTRG.1899	
MSTRG.10202	
MSTRG.39002	
MSTRG.768	
MSTRG.53704	
MSTRG.53435	
MSTRG.51074	
MSTRG.43937	
MSTRG.22112	
MSTRG.7515	
MSTRG.8485	
MSTRG.13958	
MSTRG.6847	
MSTRG.9147	
MSTRG.47844	
MSTRG.22278	
MSTRG.35902	
MSTRG.22572	
MSTRG.41235	
MSTRG.24191	
MSTRG.4359	
MSTRG.9652	
MSTRG.42459	
MSTRG.34229	
MSTRG.41267	
MSTRG.38681	
MSTRG.2446	
MSTRG.6161	
MSTRG.32663	
MSTRG.28355	
MSTRG.21218	
MSTRG.20605	
MSTRG.10322	
MSTRG.24740	
MSTRG.13349	
MSTRG.28098	
MSTRG.31270	
MSTRG.25890	
MSTRG.29521	
MSTRG.8129	
MSTRG.1870	
MSTRG.53127	
MSTRG.36611	
MSTRG.7583	
MSTRG.35615	
MSTRG.7630	
MSTRG.22280	
MSTRG.51161	
MSTRG.18189	
MSTRG.22293	
MSTRG.1696	
MSTRG.33791	
MSTRG.16657	
MSTRG.45413	
MSTRG.22286	
MSTRG.39816	
MSTRG.25404	
MSTRG.42644	
MSTRG.19441	
MSTRG.27854	
MSTRG.52487	
MSTRG.53433	
MSTRG.11349	
MSTRG.47436	
MSTRG.45450	
MSTRG.32312	
MSTRG.13823	
MSTRG.39702	
MSTRG.20768	
MSTRG.32652	
MSTRG.11517	
MSTRG.14146	
MSTRG.53815	
MSTRG.26231	
MSTRG.25130	
MSTRG.6334	
MSTRG.16509	
MSTRG.14113	
MSTRG.51142	
MSTRG.52070	
MSTRG.12749	
MSTRG.55306	
MSTRG.40656	
MSTRG.15482	
MSTRG.47776	
MSTRG.2277	
MSTRG.27884	
MSTRG.20290	
MSTRG.35876	
MSTRG.30529	
MSTRG.9308	
MSTRG.13253	
MSTRG.6589	
MSTRG.8610	
MSTRG.13892	
MSTRG.26446	
MSTRG.16289	
MSTRG.5780	
MSTRG.13993	
MSTRG.43539	
MSTRG.43880	
MSTRG.8213	
MSTRG.45044	
MSTRG.36833	
MSTRG.31970	
MSTRG.32909	
MSTRG.34599	
MSTRG.2426	
MSTRG.32335	
MSTRG.45289	
MSTRG.20555	
MSTRG.28105	
MSTRG.51064	
MSTRG.28955	
MSTRG.7300	
MSTRG.11601	
MSTRG.26532	
MSTRG.22311	
MSTRG.21382	
MSTRG.2742	
MSTRG.37359	
MSTRG.11668	
MSTRG.3307	
MSTRG.55275	
MSTRG.6390	
MSTRG.38595	
MSTRG.22289	
MSTRG.7406	
MSTRG.45087	
MSTRG.20780	
MSTRG.24850	
MSTRG.8502	
MSTRG.33427	
MSTRG.23232	
MSTRG.39716	
MSTRG.14346	
MSTRG.38738	
MSTRG.32435	
MSTRG.35873	
MSTRG.29249	
MSTRG.49508	
MSTRG.52121	
MSTRG.5646	
MSTRG.22931	
MSTRG.26992	
MSTRG.19700	
MSTRG.26674	
MSTRG.18675	
MSTRG.54761	
MSTRG.6633	
MSTRG.25839	
MSTRG.13161	
MSTRG.32623	
MSTRG.41369	
MSTRG.12758	
MSTRG.9152	
MSTRG.34444	
MSTRG.1918	
MSTRG.37074	
MSTRG.55267	
MSTRG.34758	
MSTRG.9767	
MSTRG.40235	
MSTRG.7776	
MSTRG.32889	
MSTRG.39105	
MSTRG.3599	
MSTRG.25038	
MSTRG.30466	
MSTRG.24190	
MSTRG.36977	
MSTRG.12613	
MSTRG.47180	
MSTRG.28242	
MSTRG.39515	
MSTRG.49987	
MSTRG.33721	
MSTRG.23901	
MSTRG.20209	
MSTRG.50813	
MSTRG.44449	
MSTRG.41424	
MSTRG.48167	
MSTRG.32357	
MSTRG.28211	
MSTRG.34354	
MSTRG.47663	
MSTRG.47090	
MSTRG.53822	
MSTRG.28647	
MSTRG.7555	
MSTRG.18024	
MSTRG.47445	
MSTRG.14479	
MSTRG.30043	
MSTRG.31384	
MSTRG.37698	
MSTRG.30416	
MSTRG.46935	
MSTRG.1481	
MSTRG.1786	
MSTRG.36303	
MSTRG.35965	
MSTRG.48231	
MSTRG.22291	
MSTRG.38898	
MSTRG.47621	
MSTRG.55162	
MSTRG.51913	
MSTRG.15959	
MSTRG.34925	
MSTRG.18948	
MSTRG.42183	
MSTRG.5724	
MSTRG.15955	
MSTRG.34114	
MSTRG.52452	
MSTRG.26939	
MSTRG.45949	
MSTRG.28568	
MSTRG.47485	
MSTRG.29252	
MSTRG.7868	
MSTRG.26283	
MSTRG.20999	
MSTRG.55127	
MSTRG.53426	
MSTRG.25501	
MSTRG.21028	
MSTRG.19856	
MSTRG.3344	
MSTRG.49328	
MSTRG.16254	
MSTRG.24838	
MSTRG.23217	
MSTRG.15445	
MSTRG.30529	
MSTRG.22572	
MSTRG.22628	
MSTRG.13574	
MSTRG.39108	
MSTRG.33662	
MSTRG.13050	
MSTRG.23055	
MSTRG.14353	
MSTRG.7669	
MSTRG.1592	
MSTRG.8609	
MSTRG.50047	
MSTRG.43527	
MSTRG.27924	
MSTRG.48152	
MSTRG.7133	
MSTRG.34029	
MSTRG.42017	
MSTRG.16531	
MSTRG.126	
MSTRG.41755	
MSTRG.20182	
MSTRG.7561	
MSTRG.43714	
MSTRG.22258	
MSTRG.10609	
MSTRG.2156	
MSTRG.37641	
MSTRG.37358	
MSTRG.39911	
MSTRG.9441	
MSTRG.11069	
MSTRG.14146	
MSTRG.11896	
MSTRG.37949	
MSTRG.31962	
MSTRG.3142	
MSTRG.30687	
MSTRG.19815	
MSTRG.13159	
MSTRG.2974	
MSTRG.13414	
MSTRG.21080	
MSTRG.22287	
MSTRG.23146	
MSTRG.43209	
MSTRG.15345	
MSTRG.19810	
MSTRG.24415	
MSTRG.29994	
MSTRG.9500	
MSTRG.19562	
MSTRG.33219	
MSTRG.22290	
MSTRG.30985	
MSTRG.11585	
MSTRG.6399	
MSTRG.16157	
MSTRG.30377	
MSTRG.17612	
MSTRG.38452	
MSTRG.35006	
MSTRG.4933	
MSTRG.55411	
MSTRG.15754	
MSTRG.35354	
MSTRG.48294	
MSTRG.13829	
MSTRG.23228	
MSTRG.33452	
MSTRG.22594	
MSTRG.53079	
MSTRG.35908	
MSTRG.20956	
MSTRG.41994	
MSTRG.46725	
MSTRG.5310	
MSTRG.1702	
MSTRG.13576	
MSTRG.51713	
MSTRG.13585	
MSTRG.16346	
MSTRG.33967	
MSTRG.25689	
MSTRG.19848	
MSTRG.36655	
MSTRG.8359	
MSTRG.38303	
MSTRG.12897	
MSTRG.4359	
MSTRG.32291	
MSTRG.27289	
MSTRG.28527	
MSTRG.23222	
MSTRG.17847	
MSTRG.44669	
MSTRG.36176	
MSTRG.6142	
MSTRG.7231	
MSTRG.1488	
MSTRG.17447	
MSTRG.37983	
MSTRG.21267	
MSTRG.28291	
MSTRG.15417	
MSTRG.5855	
MSTRG.20942	
MSTRG.22275	
MSTRG.31374	
MSTRG.53567	
MSTRG.48690	
MSTRG.10090	
MSTRG.25192	
MSTRG.15418	
MSTRG.37348	
MSTRG.22283	
MSTRG.28153	
MSTRG.22887	
