OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL322	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL323	1	1	1	1	0	yes	yes	yes	yes	no	8	0.20	41
ORTHOMCL324	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.37	49
ORTHOMCL325	1	1	1	1	0	yes	yes	yes	yes	no	22	0.44	50
ORTHOMCL326	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.29	45
ORTHOMCL327	1	0	1	1	1	yes	no	yes	yes	yes	20	0.51	39
ORTHOMCL328	1	1	1	1	1	yes	yes	yes	yes	yes	35	0.88	40
ORTHOMCL329	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.39	49
ORTHOMCL330	1	1	1	1	0	yes	yes	yes	yes	no	13	0.27	48
ORTHOMCL331	0	1	1	1	1	no	yes	yes	yes	yes	9	0.23	40
ORTHOMCL332	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL333	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.34	44
ORTHOMCL334	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.45	51
ORTHOMCL335	0	0	1	1	0	no	no	yes	yes	no	23	0.77	30
ORTHOMCL336	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.39	51
ORTHOMCL337	1	1	1	1	1	yes	yes	yes	yes	yes	29	0.59	49
ORTHOMCL338	1	0	1	1	1	yes	no	yes	yes	yes	16	0.42	38
ORTHOMCL339	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.35	48
ORTHOMCL340	1	1	1	0	0	yes	yes	yes	no	no	18	0.53	34
ORTHOMCL341	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.56	48
ORTHOMCL342	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.36	50
ORTHOMCL343	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.61	44
ORTHOMCL344	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.27	49
ORTHOMCL345	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.40	50
ORTHOMCL346	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.46	50
ORTHOMCL347	1	1	1	1	1	yes	yes	yes	yes	yes	66	2.36	28
ORTHOMCL348	1	1	1	0	0	yes	yes	yes	no	no	18	0.69	26
ORTHOMCL349	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.49	49
ORTHOMCL350	1	1	1	1	1	yes	yes	yes	yes	yes	15	0.29	51
ORTHOMCL351	0	0	1	1	1	no	no	yes	yes	yes	25	1.32	19
ORTHOMCL352	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.35	51
ORTHOMCL353	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.40	47
ORTHOMCL354	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.43	44
ORTHOMCL355	1	1	1	1	1	yes	yes	yes	yes	yes	34	0.67	51
ORTHOMCL356	1	1	1	1	1	yes	yes	yes	yes	yes	25	0.49	51
ORTHOMCL357	0	1	1	0	1	no	yes	yes	no	yes	15	0.44	34
ORTHOMCL358	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.49	49
ORTHOMCL359	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL360	1	0	1	1	1	yes	no	yes	yes	yes	14	0.29	48
ORTHOMCL361	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.35	48
ORTHOMCL362	1	1	1	1	1	yes	yes	yes	yes	yes	20	0.40	50
ORTHOMCL363	0	0	0	1	0	no	no	no	yes	no	13	1.00	13
ORTHOMCL364	1	1	1	1	1	yes	yes	yes	yes	yes	29	0.57	51
ORTHOMCL365	1	1	1	1	1	yes	yes	yes	yes	yes	19	0.37	51
ORTHOMCL366	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.55	49
ORTHOMCL367	1	1	1	1	1	yes	yes	yes	yes	yes	16	0.32	50
ORTHOMCL368	1	1	1	1	0	yes	yes	yes	yes	no	14	0.42	33
ORTHOMCL369	1	1	1	1	1	yes	yes	yes	yes	yes	23	0.46	50
ORTHOMCL370	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL371	1	1	0	1	0	yes	yes	no	yes	no	26	0.68	38
ORTHOMCL372	0	1	1	1	1	no	yes	yes	yes	yes	10	0.20	49
ORTHOMCL373	1	0	0	0	1	yes	no	no	no	yes	52	5.20	10
ORTHOMCL374	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL375	1	1	1	0	0	yes	yes	yes	no	no	25	0.68	37
ORTHOMCL376	1	1	1	1	1	yes	yes	yes	yes	yes	24	0.47	51
ORTHOMCL377	1	1	1	1	1	yes	yes	yes	yes	yes	27	0.55	49
ORTHOMCL378	1	1	1	1	1	yes	yes	yes	yes	yes	22	0.43	51
ORTHOMCL379	1	1	1	1	1	yes	yes	yes	yes	yes	18	0.38	48
ORTHOMCL380	1	1	1	1	1	yes	yes	yes	yes	yes	17	0.46	37
ORTHOMCL381	1	1	1	1	1	yes	yes	yes	yes	yes	21	0.41	51
ORTHOMCL382	1	1	1	1	1	yes	yes	yes	yes	yes	14	0.30	47
ORTHOMCL383	1	1	1	1	1	yes	yes	yes	yes	yes	13	0.29	45
ORTHOMCL384	1	1	1	1	1	yes	yes	yes	yes	yes	25	0.49	51
