Group	Taxon	Acromyrmex_echinatior	Aedes_aegypti	Aedes_albopictus	Aethina_tumida	Agrilus_planipennis	Amyelois_transitella	Anopheles_gambiae_str._PEST	Anoplophora_glabripennis	Apis_mellifera	Athalia_rosae	Atta_cephalotes	Bactrocera_oleae	Bicyclus_anynana	Bombus_impatiens	Bombyx_mori	Cephus_cinctus	Ceratitis_capitata	Ctenocephalides_felis	Culex_quinquefasciatus	Dendroctonus_ponderosae	Drosophila_melanogaster	Glossina_morsitans_Yale	Harpegnathos_saltator	Helicoverpa_armigera	Heliothis_virescens	Hyposmocoma_kahamanoa	Leptinotarsa_decemlineata	Linepithema_humile	Lucilia_cuprina	Lutzomyia_longipalpis_Jacobina	Megachile_rotundata	Musca_domestica	Nasonia_vitripennis	Nicrophorus_vespilloides	Onthophagus_taurus	Operophtera_brumata	Oryctes_borbonicus	Papilio_machaon	Papilio_polytes	Papilio_xuthus	Phlebotomus_papatasi_Israel	Pieris_rapae	Plutella_xylostella	Pogonomyrmex_barbatus	Rhagoletis_zephyria	Solenopsis_invicta	Spodoptera_litura	Stomoxys_calcitrans	Tribolium_castaneum	Trichogramma_pretiosum	Zeugodacus_cucurbitae
Hymenoptera	Linepithema_humile	53452	57789	57751	57115	57142	57640	57937	57010	54358	54687	53713	58077	57594	54317	57622	54412	58073	57358	57973	57209	58038	58358	53488	57662	58022	57709	57294	52402	58044	58623	54285	58051	55267	57060	56997	58355	58308	57688	57811	57666	58472	57611	57851	53518	57614	53227	57555	58064	57033	55853	58084
Diptera	Lucilia_cuprina	58088	56869	56824	57747	57799	57899	57018	57698	58102	57907	58160	54603	57878	58099	57900	57929	54529	57544	57125	57771	54738	54858	58041	57915	58249	57973	57858	58044	51331	57893	58076	53282	58073	57696	57661	58557	58790	57936	58065	57930	57730	57901	57920	58090	54350	58029	57645	53365	57689	58110	54567
Diptera	Lutzomyia_longipalpis_Jacobina	58642	57352	57301	58255	58369	58483	57533	58272	58657	58532	58690	57934	58499	58660	58505	58533	57915	58107	57487	58338	57899	58155	58617	58524	58747	58543	58367	58623	57893	54538	58625	57922	58672	58241	58246	58948	59089	58539	58612	58495	56276	58503	58648	58635	57693	58594	58451	57918	58242	58708	57940
Hymenoptera	Megachile_rotundata	54326	57804	57772	57138	57137	57631	57962	57054	53480	54605	54540	58100	57597	53431	57605	54258	58086	57342	57989	57229	58053	58354	54257	57654	58005	57693	57281	54285	58076	58625	52408	58076	55256	57049	57010	58331	58314	57674	57803	57630	58493	57596	57847	54357	57663	54212	57553	58091	57058	55847	58105
Diptera	Musca_domestica	58098	56877	56831	57735	57809	57948	57044	57715	58113	57925	58163	54686	57899	58110	57943	57956	54618	57551	57143	57799	54786	55002	58050	57960	58275	58006	57863	58051	53282	57922	58076	51603	58101	57698	57686	58562	58793	57982	58103	57970	57748	57942	58118	58101	54581	58040	57867	52711	57701	58134	54665
Hymenoptera	Nasonia_vitripennis	55345	57840	57798	57220	57229	57689	57975	57117	55317	55187	55506	58127	57652	55284	57678	54965	58113	57443	58011	57306	58054	58388	55267	57726	58065	57763	57331	55267	58073	58672	55256	58101	52357	57150	57090	58402	58360	57733	57868	57721	58532	57670	57912	55350	57638	55192	57606	58114	57130	54759	58123
Coleoptera	Nicrophorus_vespilloides	57105	57292	57271	54872	55194	57177	57499	54827	57073	56870	57212	57741	57157	57064	57151	56867	57703	56838	57530	55167	57620	58027	57063	57188	57604	57242	55202	57060	57696	58241	57049	57698	57150	52464	54695	57965	56796	57249	57391	57197	58101	57132	57456	57111	57310	57051	57100	57724	54624	57292	57718
Coleoptera	Onthophagus_taurus	57057	57266	57211	54955	55144	57055	57471	54773	57074	56813	57184	57726	57062	57055	57060	56808	57687	56781	57513	55203	57618	58013	56991	57101	57515	57117	55163	56997	57661	58246	57010	57686	57090	54695	52109	57899	56386	57140	57302	57107	58074	57044	57363	57051	57191	56909	56960	57697	54689	57230	57702
Lepidoptera	Operophtera_brumata	58363	58309	58281	57996	58003	55072	58452	57921	58358	58235	58438	58576	55106	58366	55082	58240	58586	58070	58410	58048	58523	58759	58341	55019	55318	55186	58032	58355	58557	58948	58331	58562	58402	57965	57899	52379	58948	55160	55437	55233	58778	55208	55560	58379	58167	58296	54967	58575	57952	58451	58578
Coleoptera	Oryctes_borbonicus	58343	58518	58506	56851	57014	58385	58609	56782	58344	58205	58398	58806	58375	58335	58387	58207	58791	58215	58651	57028	58752	58950	58304	58438	58651	58444	56982	58308	58790	59089	58314	58793	58360	56796	56386	58948	55252	58446	58512	58385	58974	58364	58569	58348	58475	58291	58365	58789	56754	58464	58798
Lepidoptera	Papilio_machaon	57727	57660	57622	57247	57289	53399	57822	57131	57713	57525	57816	57957	53314	57710	53451	57548	57960	57357	57835	57342	57900	58250	57672	53399	54165	53581	57342	57688	57936	58539	57674	57982	57733	57249	57140	55160	58446	51272	52697	52142	58402	53379	54215	57738	57562	57631	53270	57978	57183	57818	57969
Lepidoptera	Papilio_polytes	57831	57789	57771	57385	57440	53664	57950	57301	57821	57660	57916	58092	53591	57824	53721	57676	58096	57519	57963	57468	58021	58347	57799	53656	54358	53877	57507	57811	58065	58612	57803	58103	57868	57391	57302	55437	58512	52697	51808	52498	58505	53656	54390	57853	57735	57783	53532	58101	57329	57940	58096
Lepidoptera	Papilio_xuthus	57684	57653	57625	57223	57261	53273	57821	57122	57672	57503	57785	57962	53207	57667	53287	57515	57955	57346	57832	57308	57882	58223	57642	53273	54055	53477	57312	57666	57930	58495	57630	57970	57721	57197	57107	55233	58385	52142	52498	50749	58367	53221	54146	57707	57540	57635	53104	57971	57152	57794	57965
Diptera	Phlebotomus_papatasi_Israel	58501	57149	57085	58148	58190	58351	57356	58119	58537	58397	58564	57784	58374	58531	58364	58382	57766	57967	57234	58199	57776	58028	58472	58395	58637	58417	58225	58472	57730	56276	58493	57748	58532	58101	58074	58778	58974	58402	58505	58367	54127	58381	58525	58506	57492	58436	58304	57767	58115	58567	57797
Lepidoptera	Pieris_rapae	57636	57596	57574	57141	57194	53292	57787	57059	57618	57440	57718	57928	53106	57614	53233	57451	57918	57293	57791	57247	57855	58195	57587	53302	54092	53494	57260	57611	57901	58503	57596	57942	57670	57132	57044	55208	58364	53379	53656	53221	58381	51674	54177	57651	57539	57565	53164	57938	57071	57731	57926
Lepidoptera	Plutella_xylostella	57870	57840	57808	57457	57486	54019	58009	57370	57883	57709	57966	58118	54075	57880	54065	57708	58110	57582	58008	57498	58059	58338	57848	54039	54617	54179	57551	57851	57920	58648	57847	58118	57912	57456	57363	55560	58569	54215	54390	54146	58525	54177	51579	57886	57617	57783	53810	58118	57397	57979	58121
Hymenoptera	Pogonomyrmex_barbatus	53389	57818	57799	57165	57185	57684	57955	57111	54410	54744	53631	58117	57645	54404	57669	54477	58110	57426	58002	57251	58054	58380	53590	57701	58062	57752	57354	53518	58090	58635	54357	58101	55350	57111	57051	58379	58348	57738	57853	57707	58506	57651	57886	52470	57695	53221	57599	58113	57095	55922	58134
Diptera	Rhagoletis_zephyria	57697	56661	56560	57347	57374	57496	56850	57260	57734	57534	57789	52586	57493	57720	57551	57516	52574	57206	56871	57404	54773	55446	57641	57568	57885	57571	57435	57614	54350	57693	57663	54581	57638	57310	57191	58167	58475	57562	57735	57540	57492	57539	57617	57695	49587	57555	57328	54670	57283	57722	52578
Hymenoptera	Solenopsis_invicta	53195	57762	57708	57098	57074	57569	57924	56950	54295	54612	53488	58060	57536	54273	57561	54294	58060	57329	57957	57191	58031	58348	53378	57606	57967	57656	57210	53227	58029	58594	54212	58040	55192	57051	56909	58296	58291	57631	57783	57635	58436	57565	57783	53221	57555	51754	57480	58059	56982	55770	58068
Lepidoptera	Spodoptera_litura	57589	57541	57509	57134	57153	52979	57743	56997	57594	57389	57693	57882	53007	57588	52925	57403	57863	57261	57731	57205	57794	58118	57532	52016	52980	53172	57198	57555	57645	58451	57553	57867	57606	57100	56960	54967	58365	53270	53532	53104	58304	53164	53810	57599	57328	57480	50353	57863	57056	57695	57877
Diptera	Stomoxys_calcitrans	58104	56881	56839	57738	57817	57935	57062	57744	58118	57940	58173	54763	57911	58119	57944	57969	54686	57573	57156	57806	54823	55038	58053	57959	58270	57998	57871	58064	53365	57918	58091	52711	58114	57724	57697	58575	58789	57978	58101	57971	57767	57938	58118	58113	54670	58059	57863	51794	57723	58139	54715
Coleoptera	Tribolium_castaneum	57071	57303	57287	54411	55127	57137	57478	54195	57062	56857	57183	57742	57103	57071	57103	56833	57690	56851	57540	54743	57617	58017	57024	57152	57569	57199	54668	57033	57689	58242	57058	57701	57130	54624	54689	57952	56754	57183	57329	57152	58115	57071	57397	57095	57283	56982	57056	57723	52076	57249	57708
Hymenoptera	Trichogramma_pretiosum	55888	57857	57828	57339	57351	57773	58012	57249	55896	55732	56041	58151	57732	55887	57776	55621	58133	57510	58054	57420	58076	58425	55835	57801	58145	57849	57473	55853	58110	58708	55847	58134	54759	57292	57230	58451	58464	57818	57940	57794	58567	57731	57979	55922	57722	55770	57695	58139	57249	53270	58145
Diptera	Zeugodacus_cucurbitae	58124	56894	56849	57745	57819	57934	57047	57739	58131	57958	58177	52170	57917	58126	57939	57977	52373	57583	57147	57814	54787	55521	58090	57963	58272	58005	57886	58084	54567	57940	58105	54665	58123	57718	57702	58578	58798	57969	58096	57965	57797	57926	58121	58134	52578	58068	57877	54715	57708	58145	51572
