OG	Coleoptera	Diptera	Hymenoptera	Lepidoptera	Siphonaptera	coreColeoptera	coreDiptera	coreHymenoptera	coreLepidoptera	coreSiphonaptera	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL73	1	1	1	1	1	yes	no	yes	no	yes	358	7.46	48
ORTHOMCL74	1	1	1	1	1	yes	yes	yes	yes	yes	356	6.98	51
ORTHOMCL75	1	1	1	1	1	yes	yes	yes	no	yes	355	7.10	50
ORTHOMCL76	1	1	1	1	1	yes	yes	yes	yes	yes	355	6.96	51
ORTHOMCL77	1	1	1	1	1	yes	yes	yes	no	yes	353	7.35	48
ORTHOMCL78	0	0	1	0	0	no	no	no	no	no	352	32.00	11
ORTHOMCL79	1	1	1	1	1	no	no	no	no	yes	351	9.49	37
ORTHOMCL80	1	1	1	1	1	yes	no	yes	no	yes	350	7.61	46
ORTHOMCL81	0	1	1	0	0	no	no	no	no	no	350	50.00	7
ORTHOMCL82	0	1	1	1	0	no	no	no	no	no	348	18.32	19
ORTHOMCL83	1	1	1	1	1	yes	yes	yes	no	yes	348	6.96	50
ORTHOMCL84	1	1	1	1	1	yes	no	yes	no	yes	347	7.08	49
ORTHOMCL85	1	1	1	1	1	yes	yes	yes	yes	yes	345	6.76	51
ORTHOMCL86	1	1	1	1	1	yes	no	yes	yes	yes	344	6.88	50
ORTHOMCL87	1	1	1	1	1	yes	yes	yes	yes	yes	343	6.73	51
ORTHOMCL88	1	1	1	1	1	yes	no	yes	yes	yes	343	6.86	50
ORTHOMCL89	1	1	1	1	1	yes	yes	yes	yes	yes	342	6.71	51
ORTHOMCL90	1	1	1	1	1	no	yes	yes	yes	yes	340	6.80	50
ORTHOMCL91	1	1	1	1	1	yes	no	yes	no	yes	338	6.90	49
ORTHOMCL92	1	1	1	1	1	yes	yes	yes	yes	yes	337	6.61	51
ORTHOMCL93	0	0	1	0	0	no	no	no	no	no	336	48.00	7
ORTHOMCL94	1	1	1	1	0	no	no	yes	yes	no	334	9.03	37
ORTHOMCL95	1	1	1	1	1	yes	no	yes	yes	yes	331	7.36	45
ORTHOMCL96	1	1	1	1	1	yes	yes	yes	yes	yes	331	6.49	51
ORTHOMCL97	1	1	1	1	1	yes	no	no	no	yes	330	8.68	38
ORTHOMCL98	1	1	1	1	1	yes	no	yes	yes	yes	330	7.67	43
ORTHOMCL99	1	1	1	1	1	yes	yes	no	yes	yes	329	6.58	50
ORTHOMCL100	1	1	1	1	1	no	yes	yes	yes	yes	329	6.58	50
ORTHOMCL101	1	1	1	1	1	yes	no	yes	yes	yes	328	6.69	49
ORTHOMCL102	1	1	1	1	1	yes	no	yes	no	yes	328	6.83	48
ORTHOMCL103	1	1	1	1	1	yes	yes	yes	yes	yes	327	6.41	51
ORTHOMCL104	1	1	1	1	1	no	no	yes	no	yes	326	8.15	40
ORTHOMCL105	1	1	1	1	1	yes	yes	yes	no	yes	323	6.46	50
ORTHOMCL106	1	1	1	1	1	yes	yes	yes	yes	yes	323	6.33	51
ORTHOMCL107	1	1	1	1	1	yes	yes	yes	yes	yes	322	6.31	51
ORTHOMCL108	1	1	1	1	1	no	yes	yes	yes	yes	319	6.38	50
ORTHOMCL109	1	1	1	1	1	yes	yes	yes	yes	yes	319	6.25	51
ORTHOMCL110	1	1	1	1	1	yes	yes	yes	no	yes	318	7.07	45
ORTHOMCL111	1	1	1	1	1	yes	yes	yes	yes	yes	317	6.22	51
ORTHOMCL112	1	1	1	1	1	yes	no	no	yes	yes	317	7.73	41
