OG	BFHOLO	BFnonHOLO	nonBFHOLO	nonBFnonHOLO	coreBFHOLO	coreBFnonHOLO	corenonBFHOLO	corenonBFnonHOLO	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL4126	1	1	1	1	yes	no	yes	no	22	1.22	18
ORTHOMCL4127	1	1	1	1	no	yes	yes	no	22	1.22	18
ORTHOMCL4128	0	0	0	0	no	no	no	no	22	4.40	5
ORTHOMCL4129	1	1	1	1	yes	no	yes	no	22	1.22	18
ORTHOMCL4130	1	1	1	1	no	yes	yes	yes	22	1.16	19
ORTHOMCL4131	0	1	0	1	no	yes	no	yes	22	2.00	11
ORTHOMCL4132	0	1	0	0	no	no	no	no	22	2.44	9
ORTHOMCL4133	1	1	1	1	no	yes	yes	yes	22	1.16	19
ORTHOMCL4134	0	0	1	0	no	no	no	no	22	3.67	6
ORTHOMCL4135	1	0	1	0	no	no	yes	no	22	1.83	12
ORTHOMCL4136	1	1	1	1	yes	no	yes	yes	22	1.16	19
ORTHOMCL4137	1	0	1	0	no	no	yes	no	22	1.69	13
ORTHOMCL4138	1	0	1	0	yes	no	yes	no	22	2.00	11
ORTHOMCL4139	0	0	0	0	no	no	no	no	22	4.40	5
ORTHOMCL4140	1	1	1	1	yes	no	yes	yes	22	1.16	19
ORTHOMCL4141	0	0	1	0	no	no	yes	no	22	3.14	7
ORTHOMCL4142	1	0	0	0	no	no	no	no	22	3.67	6
ORTHOMCL4143	1	0	1	1	yes	no	yes	yes	22	1.29	17
ORTHOMCL4144	0	0	0	0	no	no	no	no	22	22.00	1
ORTHOMCL4145	1	1	1	1	yes	yes	yes	no	22	1.16	19
ORTHOMCL4146	0	1	0	1	no	no	no	no	22	1.83	12
ORTHOMCL4147	0	0	1	0	no	no	yes	no	22	2.20	10
ORTHOMCL4148	1	1	1	1	yes	no	yes	no	22	1.22	18
ORTHOMCL4149	0	0	1	0	no	no	yes	no	22	2.75	8
ORTHOMCL4150	1	0	1	0	yes	no	yes	no	22	1.47	15
ORTHOMCL4151	1	1	1	1	yes	yes	yes	yes	22	1.10	20
ORTHOMCL4152	0	1	1	1	no	yes	yes	yes	22	1.29	17
ORTHOMCL4153	1	1	1	0	yes	yes	yes	no	22	1.29	17
ORTHOMCL4154	0	1	0	1	no	yes	no	yes	22	2.20	10
ORTHOMCL4155	1	1	1	1	yes	no	yes	yes	22	1.16	19
ORTHOMCL4156	1	1	1	1	yes	no	yes	no	22	1.22	18
ORTHOMCL4157	1	0	1	0	yes	no	yes	no	22	2.00	11
ORTHOMCL4158	1	0	1	1	no	no	yes	yes	22	1.29	17
ORTHOMCL4159	0	0	0	0	no	no	no	no	22	22.00	1
ORTHOMCL4160	1	0	1	0	yes	no	yes	no	22	1.83	12
ORTHOMCL4161	0	1	0	1	no	no	no	no	22	2.75	8
ORTHOMCL4162	0	0	1	0	no	no	yes	no	22	2.44	9
ORTHOMCL4163	0	0	0	0	no	no	no	no	22	7.33	3
ORTHOMCL4164	0	0	1	0	no	no	yes	no	22	2.75	8
ORTHOMCL4165	0	0	0	0	no	no	no	no	22	22.00	1
ORTHOMCL4166	1	0	1	1	no	no	yes	no	22	1.47	15
ORTHOMCL4167	0	1	1	1	no	yes	yes	yes	22	1.22	18
ORTHOMCL4168	1	1	1	1	yes	yes	yes	no	22	1.16	19
ORTHOMCL4169	1	0	1	1	yes	no	yes	yes	22	1.22	18
ORTHOMCL4170	1	1	1	1	no	yes	yes	yes	22	1.16	19
ORTHOMCL4171	1	0	1	1	yes	no	yes	no	22	1.38	16
ORTHOMCL4172	1	1	1	1	no	yes	yes	yes	22	1.16	19
ORTHOMCL4173	0	1	0	0	no	no	no	no	22	3.14	7
ORTHOMCL4174	0	0	1	0	no	no	yes	no	22	2.44	9
ORTHOMCL4175	1	1	1	1	no	no	yes	yes	22	1.22	18
ORTHOMCL4176	0	0	1	0	no	no	yes	no	22	2.00	11
ORTHOMCL4177	1	1	1	0	yes	no	yes	no	22	1.29	17
ORTHOMCL4178	1	0	1	1	yes	no	yes	no	22	1.29	17
ORTHOMCL4179	1	0	1	0	no	no	yes	no	22	2.44	9
ORTHOMCL4180	1	1	1	1	no	yes	yes	yes	22	1.16	19
ORTHOMCL4181	1	1	1	1	yes	yes	yes	yes	22	1.10	20
ORTHOMCL4182	0	1	1	1	no	no	yes	yes	22	1.29	17
ORTHOMCL4183	0	0	0	0	no	no	no	no	22	3.67	6
ORTHOMCL4184	0	0	1	0	no	no	yes	no	22	3.14	7
ORTHOMCL4185	0	0	1	0	no	no	yes	no	22	3.14	7
ORTHOMCL4186	1	1	1	1	no	yes	yes	yes	22	1.16	19
ORTHOMCL4187	0	0	1	0	no	no	no	no	22	3.67	6
ORTHOMCL4188	0	0	1	0	no	no	no	no	22	3.67	6
ORTHOMCL4189	0	1	0	0	no	no	no	no	22	2.44	9
ORTHOMCL4190	1	1	1	1	yes	no	yes	yes	22	1.16	19
ORTHOMCL4191	1	1	1	1	yes	yes	yes	yes	22	1.10	20
ORTHOMCL4192	0	0	0	0	no	no	no	no	22	3.14	7
ORTHOMCL4193	1	1	1	1	yes	yes	yes	yes	22	1.10	20
ORTHOMCL4194	0	0	0	0	no	no	no	no	22	22.00	1
ORTHOMCL4195	1	0	1	1	yes	no	yes	no	22	1.38	16
ORTHOMCL4196	0	0	0	0	no	no	no	no	22	2.75	8
ORTHOMCL4197	1	0	1	1	no	no	yes	yes	22	1.29	17
ORTHOMCL4198	0	0	1	0	no	no	yes	no	22	2.20	10
ORTHOMCL4199	1	0	1	0	yes	no	yes	no	22	1.47	15
ORTHOMCL4200	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4201	1	0	1	0	no	no	yes	no	21	2.10	10
ORTHOMCL4202	1	0	1	1	no	no	yes	yes	21	1.24	17
ORTHOMCL4203	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4204	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4205	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4206	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4207	0	0	1	0	no	no	yes	no	21	2.10	10
ORTHOMCL4208	1	0	0	0	no	no	no	no	21	2.62	8
ORTHOMCL4209	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4210	0	1	1	0	no	no	yes	no	21	1.40	15
ORTHOMCL4211	0	1	0	1	no	yes	no	yes	21	1.62	13
ORTHOMCL4212	0	0	0	0	no	no	no	no	21	7.00	3
ORTHOMCL4213	1	0	1	0	no	no	yes	no	21	1.62	13
ORTHOMCL4214	0	1	1	1	no	no	yes	no	21	1.31	16
ORTHOMCL4215	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4216	0	1	0	1	no	no	no	no	21	2.62	8
ORTHOMCL4217	1	1	1	1	no	yes	yes	no	21	1.17	18
ORTHOMCL4218	0	0	0	1	no	no	no	no	21	3.00	7
ORTHOMCL4219	1	0	1	0	no	no	yes	no	21	1.75	12
ORTHOMCL4220	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4221	0	0	1	0	no	no	yes	no	21	2.62	8
ORTHOMCL4222	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4223	1	0	1	1	no	no	yes	no	21	1.31	16
ORTHOMCL4224	0	1	0	1	no	no	no	yes	21	2.10	10
ORTHOMCL4225	1	1	1	1	yes	no	yes	no	21	1.17	18
ORTHOMCL4226	1	0	1	1	no	no	yes	no	21	1.31	16
ORTHOMCL4227	0	1	0	1	no	no	no	no	21	1.91	11
ORTHOMCL4228	0	1	0	1	no	yes	no	no	21	2.33	9
ORTHOMCL4229	1	1	0	1	no	yes	no	no	21	1.31	16
ORTHOMCL4230	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4231	1	0	1	0	yes	no	yes	no	21	1.91	11
ORTHOMCL4232	0	0	0	0	no	no	no	no	21	10.50	2
ORTHOMCL4233	0	1	0	1	no	no	no	no	21	2.33	9
ORTHOMCL4234	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4235	0	0	0	0	no	no	no	no	21	10.50	2
ORTHOMCL4236	1	1	1	1	no	no	yes	no	21	1.24	17
ORTHOMCL4237	1	0	1	0	yes	no	yes	no	21	1.91	11
ORTHOMCL4238	1	0	1	0	no	no	yes	no	21	1.62	13
ORTHOMCL4239	0	1	1	1	no	yes	yes	no	21	1.24	17
ORTHOMCL4240	0	0	0	1	no	no	no	no	21	2.10	10
ORTHOMCL4241	0	1	1	0	no	no	yes	no	21	1.40	15
ORTHOMCL4242	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4243	0	0	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4244	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4245	0	0	1	0	no	no	yes	no	21	2.10	10
ORTHOMCL4246	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4247	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4248	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4249	1	1	1	1	yes	no	yes	no	21	1.17	18
ORTHOMCL4250	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4251	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4252	1	0	1	0	no	no	yes	no	21	2.33	9
ORTHOMCL4253	0	1	0	1	no	no	no	no	21	1.50	14
ORTHOMCL4254	1	0	1	1	no	no	yes	yes	21	1.24	17
ORTHOMCL4255	1	0	1	0	no	no	yes	no	21	2.10	10
ORTHOMCL4256	1	0	1	0	yes	no	yes	no	21	2.10	10
ORTHOMCL4257	1	0	1	1	no	no	yes	no	21	1.31	16
ORTHOMCL4258	0	0	0	0	no	no	no	no	21	2.62	8
ORTHOMCL4259	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4260	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4261	0	1	1	1	no	yes	yes	yes	21	1.17	18
ORTHOMCL4262	1	1	1	0	no	no	yes	no	21	1.31	16
ORTHOMCL4263	1	0	1	0	yes	no	yes	no	21	1.91	11
ORTHOMCL4264	0	0	1	0	no	no	yes	no	21	2.62	8
ORTHOMCL4265	0	0	0	0	no	no	no	no	21	10.50	2
ORTHOMCL4266	0	0	0	0	no	no	no	no	21	2.33	9
ORTHOMCL4267	1	0	1	0	no	no	yes	no	21	1.91	11
ORTHOMCL4268	0	0	1	0	no	no	yes	no	21	1.91	11
ORTHOMCL4269	0	0	0	0	no	no	no	no	21	3.50	6
ORTHOMCL4270	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4271	0	0	0	0	no	no	no	no	21	2.33	9
ORTHOMCL4272	0	0	0	0	no	no	no	no	21	5.25	4
ORTHOMCL4273	1	1	1	1	yes	no	yes	no	21	1.17	18
ORTHOMCL4274	1	0	1	0	yes	no	yes	no	21	1.50	14
ORTHOMCL4275	0	1	1	0	no	yes	yes	no	21	1.31	16
ORTHOMCL4276	1	1	1	0	yes	no	yes	no	21	1.24	17
ORTHOMCL4277	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4278	0	0	0	1	no	no	no	no	21	3.00	7
ORTHOMCL4279	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4280	1	0	1	0	yes	no	yes	no	21	1.91	11
ORTHOMCL4281	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4282	0	1	1	0	no	yes	no	no	21	1.50	14
ORTHOMCL4283	0	1	1	1	no	no	yes	yes	21	1.24	17
ORTHOMCL4284	0	0	1	0	no	no	no	no	21	2.10	10
ORTHOMCL4285	0	0	1	0	no	no	no	no	21	3.50	6
ORTHOMCL4286	1	0	1	0	no	no	yes	no	21	1.50	14
ORTHOMCL4287	1	1	1	1	no	no	yes	no	21	1.24	17
ORTHOMCL4288	0	0	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4289	0	0	1	0	no	no	no	no	21	4.20	5
ORTHOMCL4290	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4291	1	0	1	1	no	no	yes	no	21	1.31	16
ORTHOMCL4292	0	1	0	0	no	yes	no	no	21	3.00	7
ORTHOMCL4293	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4294	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4295	1	1	1	1	no	no	no	yes	21	1.24	17
ORTHOMCL4296	0	0	1	1	no	no	yes	yes	21	1.31	16
ORTHOMCL4297	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4298	0	0	1	1	no	no	yes	yes	21	1.50	14
ORTHOMCL4299	1	0	1	0	no	no	yes	no	21	1.75	12
ORTHOMCL4300	1	0	1	0	no	no	yes	no	21	2.33	9
ORTHOMCL4301	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4302	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4303	1	1	1	1	no	yes	yes	no	21	1.17	18
ORTHOMCL4304	1	0	1	0	no	no	yes	no	21	1.40	15
ORTHOMCL4305	0	1	1	1	no	yes	yes	yes	21	1.24	17
ORTHOMCL4306	1	0	1	0	no	no	yes	no	21	1.75	12
ORTHOMCL4307	0	1	0	1	no	yes	no	yes	21	1.40	15
ORTHOMCL4308	0	0	1	0	no	no	no	no	21	3.50	6
ORTHOMCL4309	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4310	1	0	1	0	no	no	yes	no	21	2.10	10
ORTHOMCL4311	0	1	0	1	no	no	no	no	21	1.91	11
ORTHOMCL4312	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4313	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4314	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4315	0	1	0	1	no	yes	no	yes	21	1.62	13
ORTHOMCL4316	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4317	0	0	0	1	no	no	no	yes	21	2.10	10
ORTHOMCL4318	1	1	1	1	no	yes	yes	no	21	1.17	18
ORTHOMCL4319	0	0	0	0	no	no	no	no	21	7.00	3
ORTHOMCL4320	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4321	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4322	0	0	0	0	no	no	no	no	21	2.33	9
ORTHOMCL4323	0	0	0	0	no	no	no	no	21	7.00	3
ORTHOMCL4324	0	0	0	0	no	no	no	no	21	2.33	9
ORTHOMCL4325	0	0	1	0	no	no	no	no	21	4.20	5
ORTHOMCL4326	0	0	1	1	no	no	no	no	21	1.50	14
ORTHOMCL4327	0	0	0	0	no	no	no	no	21	5.25	4
ORTHOMCL4328	0	0	1	0	no	no	yes	no	21	2.62	8
ORTHOMCL4329	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4330	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4331	0	0	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4332	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4333	1	0	1	1	yes	no	yes	no	21	1.40	15
ORTHOMCL4334	0	0	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4335	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4336	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4337	1	0	0	0	no	no	no	no	21	2.33	9
ORTHOMCL4338	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4339	0	0	1	1	no	no	yes	no	21	1.50	14
ORTHOMCL4340	0	0	1	0	no	no	yes	no	21	2.62	8
ORTHOMCL4341	0	0	0	1	no	no	no	no	21	3.50	6
ORTHOMCL4342	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4343	1	0	1	0	yes	no	yes	no	21	1.75	12
ORTHOMCL4344	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4345	0	0	1	0	no	no	no	no	21	3.00	7
ORTHOMCL4346	1	0	1	0	yes	no	yes	no	21	1.50	14
ORTHOMCL4347	0	0	1	0	no	no	yes	no	21	1.75	12
ORTHOMCL4348	1	0	1	0	yes	no	no	no	21	1.50	14
ORTHOMCL4349	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4350	0	0	1	0	no	no	yes	no	21	2.10	10
ORTHOMCL4351	0	0	0	0	no	no	no	no	21	10.50	2
ORTHOMCL4352	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4353	1	0	1	0	no	no	yes	no	21	1.40	15
ORTHOMCL4354	0	1	1	1	no	yes	yes	yes	21	1.17	18
ORTHOMCL4355	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4356	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4357	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4358	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4359	1	0	1	1	no	no	yes	no	21	1.50	14
ORTHOMCL4360	0	1	0	1	no	yes	no	yes	21	2.10	10
ORTHOMCL4361	1	1	1	1	yes	no	yes	no	21	1.17	18
ORTHOMCL4362	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4363	0	0	0	0	no	no	no	no	21	3.50	6
ORTHOMCL4364	1	0	1	1	no	no	yes	yes	21	1.24	17
ORTHOMCL4365	0	0	1	0	no	no	yes	no	21	2.62	8
ORTHOMCL4366	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4367	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4368	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4369	0	0	1	0	no	no	no	no	21	3.50	6
ORTHOMCL4370	0	1	0	1	no	no	no	no	21	2.33	9
ORTHOMCL4371	0	0	0	0	no	no	no	no	21	3.50	6
ORTHOMCL4372	1	0	1	0	yes	no	yes	no	21	1.91	11
ORTHOMCL4373	1	0	1	1	yes	no	yes	no	21	1.31	16
ORTHOMCL4374	1	0	1	0	yes	no	yes	no	21	1.31	16
ORTHOMCL4375	0	0	1	0	no	no	yes	no	21	2.33	9
ORTHOMCL4376	1	1	0	1	no	no	no	no	21	1.40	15
ORTHOMCL4377	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4378	0	0	1	0	no	no	yes	no	21	2.62	8
ORTHOMCL4379	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4380	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4381	1	0	1	0	yes	no	yes	no	21	1.62	13
ORTHOMCL4382	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4383	0	0	0	1	no	no	no	no	21	1.75	12
ORTHOMCL4384	0	0	0	0	no	no	no	no	21	10.50	2
ORTHOMCL4385	1	0	1	0	yes	no	yes	no	21	1.31	16
ORTHOMCL4386	1	0	1	0	no	no	yes	no	21	1.40	15
ORTHOMCL4387	1	0	1	1	yes	no	yes	no	21	1.31	16
ORTHOMCL4388	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4389	0	0	1	0	no	no	yes	no	21	1.62	13
ORTHOMCL4390	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4391	1	0	1	0	no	no	yes	no	21	2.10	10
ORTHOMCL4392	1	1	1	1	yes	no	yes	no	21	1.17	18
ORTHOMCL4393	0	0	0	0	no	no	no	no	21	5.25	4
ORTHOMCL4394	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4395	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4396	0	1	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4397	0	0	1	0	no	no	yes	no	21	2.33	9
ORTHOMCL4398	0	0	0	0	no	no	no	no	21	3.50	6
ORTHOMCL4399	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4400	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4401	0	0	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4402	0	1	0	0	no	yes	no	no	21	2.62	8
ORTHOMCL4403	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4404	0	0	1	0	no	no	yes	no	21	1.50	14
ORTHOMCL4405	0	1	0	0	no	no	no	no	21	2.33	9
ORTHOMCL4406	0	0	0	0	no	no	no	no	21	5.25	4
ORTHOMCL4407	0	1	0	1	no	no	no	yes	21	1.75	12
ORTHOMCL4408	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4409	0	1	1	0	no	no	yes	no	21	1.50	14
ORTHOMCL4410	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4411	0	0	1	0	no	no	yes	no	21	1.62	13
ORTHOMCL4412	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4413	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4414	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4415	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4416	1	0	1	0	no	no	yes	no	21	1.75	12
ORTHOMCL4417	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4418	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4419	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4420	0	0	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4421	1	0	1	0	no	no	yes	no	21	1.91	11
ORTHOMCL4422	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4423	1	0	1	0	yes	no	yes	no	21	1.31	16
ORTHOMCL4424	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4425	1	0	1	0	no	no	yes	no	21	1.50	14
ORTHOMCL4426	1	0	1	1	no	no	yes	no	21	1.50	14
ORTHOMCL4427	0	0	0	0	no	no	no	no	21	2.62	8
ORTHOMCL4428	0	1	0	0	no	no	no	no	21	2.62	8
ORTHOMCL4429	0	0	0	0	no	no	no	no	21	10.50	2
ORTHOMCL4430	0	0	1	0	no	no	yes	no	21	2.33	9
ORTHOMCL4431	0	0	1	1	no	no	yes	yes	21	1.40	15
ORTHOMCL4432	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4433	0	0	0	1	no	no	no	yes	21	2.62	8
ORTHOMCL4434	1	0	1	0	no	no	yes	no	21	2.33	9
ORTHOMCL4435	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4436	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4437	0	0	0	0	no	no	no	no	21	3.00	7
ORTHOMCL4438	1	0	1	0	yes	no	yes	no	21	2.10	10
ORTHOMCL4439	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4440	1	0	1	1	yes	no	yes	no	21	1.24	17
ORTHOMCL4441	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4442	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4443	0	0	1	0	no	no	yes	no	21	3.00	7
ORTHOMCL4444	0	1	0	1	no	yes	no	yes	21	1.31	16
ORTHOMCL4445	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4446	1	0	1	0	yes	no	yes	no	21	1.31	16
ORTHOMCL4447	1	1	1	1	no	no	yes	no	21	1.24	17
ORTHOMCL4448	0	0	1	1	no	no	no	no	21	1.75	12
ORTHOMCL4449	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4450	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4451	0	0	0	0	no	no	no	no	21	3.50	6
ORTHOMCL4452	1	1	1	1	yes	no	yes	no	21	1.17	18
ORTHOMCL4453	1	0	1	0	yes	no	yes	no	21	2.10	10
ORTHOMCL4454	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4455	1	1	1	1	yes	no	yes	no	21	1.17	18
ORTHOMCL4456	1	0	1	0	no	no	yes	no	21	1.91	11
ORTHOMCL4457	0	0	1	0	no	no	yes	no	21	2.62	8
ORTHOMCL4458	0	0	0	0	no	no	no	no	21	5.25	4
ORTHOMCL4459	1	1	1	1	no	yes	yes	no	21	1.17	18
ORTHOMCL4460	1	0	1	0	yes	no	yes	no	21	1.50	14
ORTHOMCL4461	0	1	1	1	no	yes	yes	yes	21	1.17	18
ORTHOMCL4462	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4463	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4464	1	0	1	1	yes	no	yes	yes	21	1.17	18
ORTHOMCL4465	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4466	0	0	1	0	no	no	yes	no	21	1.62	13
ORTHOMCL4467	0	0	0	0	no	no	no	no	21	3.50	6
ORTHOMCL4468	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4469	1	0	1	0	yes	no	yes	no	21	1.50	14
ORTHOMCL4470	1	0	1	0	no	no	yes	no	21	1.40	15
ORTHOMCL4471	1	0	1	0	yes	no	yes	no	21	1.31	16
ORTHOMCL4472	1	1	0	1	no	no	no	yes	21	1.31	16
ORTHOMCL4473	1	1	1	0	yes	no	yes	no	21	1.24	17
ORTHOMCL4474	1	1	1	1	no	no	yes	yes	21	1.17	18
ORTHOMCL4475	1	0	1	1	no	no	yes	yes	21	1.24	17
ORTHOMCL4476	0	1	1	1	no	yes	yes	no	21	1.24	17
ORTHOMCL4477	0	0	0	0	no	no	no	no	21	4.20	5
ORTHOMCL4478	0	0	0	1	no	no	no	no	21	2.33	9
ORTHOMCL4479	0	0	1	1	no	no	yes	no	21	1.75	12
ORTHOMCL4480	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4481	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4482	0	0	0	1	no	no	no	no	21	2.10	10
ORTHOMCL4483	1	0	1	1	yes	no	yes	no	21	1.31	16
ORTHOMCL4484	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4485	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4486	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4487	1	0	1	1	yes	no	yes	yes	21	1.17	18
ORTHOMCL4488	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4489	1	1	1	1	yes	no	yes	yes	21	1.11	19
ORTHOMCL4490	1	1	1	1	yes	yes	yes	no	21	1.11	19
ORTHOMCL4491	0	1	1	1	no	yes	yes	no	21	1.24	17
ORTHOMCL4492	0	0	0	0	no	no	no	no	21	21.00	1
ORTHOMCL4493	1	1	1	1	yes	yes	yes	yes	21	1.05	20
ORTHOMCL4494	1	0	1	1	no	no	yes	yes	21	1.24	17
ORTHOMCL4495	1	1	1	1	no	yes	yes	yes	21	1.11	19
ORTHOMCL4496	1	0	1	0	no	no	yes	no	20	2.22	9
ORTHOMCL4497	0	0	0	0	no	no	no	no	20	5.00	4
ORTHOMCL4498	0	0	0	0	no	no	no	no	20	4.00	5
ORTHOMCL4499	0	1	1	1	no	no	yes	no	20	1.25	16
ORTHOMCL4500	0	0	1	1	no	no	yes	yes	20	1.33	15
ORTHOMCL4501	1	0	1	0	yes	no	yes	no	20	1.33	15
ORTHOMCL4502	1	0	1	0	yes	no	yes	no	20	1.25	16
ORTHOMCL4503	0	1	0	1	no	no	no	yes	20	1.43	14
ORTHOMCL4504	1	0	1	1	no	no	no	no	20	1.33	15
ORTHOMCL4505	0	0	1	0	no	no	no	no	20	1.82	11
ORTHOMCL4506	0	0	0	0	no	no	no	no	20	20.00	1
