OG	BFHOLO	BFnonHOLO	nonBFHOLO	nonBFnonHOLO	coreBFHOLO	coreBFnonHOLO	corenonBFHOLO	corenonBFnonHOLO	numOfOrths	orthsPerTaxon	uniqueTaxa
ORTHOMCL237	1	0	1	1	yes	no	yes	no	89	5.24	17
ORTHOMCL238	1	1	1	1	no	no	yes	yes	89	4.94	18
ORTHOMCL239	1	1	1	1	yes	no	yes	yes	88	4.63	19
ORTHOMCL240	1	1	1	1	yes	yes	yes	yes	88	4.40	20
ORTHOMCL241	1	1	1	1	yes	yes	yes	yes	88	4.40	20
ORTHOMCL242	1	1	1	1	yes	yes	yes	yes	88	4.40	20
ORTHOMCL243	1	1	1	1	yes	yes	yes	yes	88	4.40	20
ORTHOMCL244	1	1	1	1	yes	no	yes	no	88	4.89	18
ORTHOMCL245	1	1	1	1	yes	yes	yes	yes	88	4.40	20
ORTHOMCL246	1	1	1	1	yes	yes	yes	yes	88	4.40	20
ORTHOMCL247	1	1	1	1	yes	no	yes	yes	88	4.63	19
ORTHOMCL248	1	1	1	1	yes	yes	yes	yes	88	4.40	20
ORTHOMCL249	1	0	1	1	yes	no	yes	no	87	5.12	17
ORTHOMCL250	0	0	1	1	no	no	yes	no	87	7.25	12
ORTHOMCL251	1	1	1	1	yes	yes	yes	yes	87	4.35	20
ORTHOMCL252	1	1	1	1	yes	yes	yes	yes	87	4.35	20
ORTHOMCL253	0	0	1	0	no	no	yes	no	87	12.43	7
ORTHOMCL254	1	1	1	1	yes	yes	yes	yes	87	4.35	20
ORTHOMCL255	1	1	1	1	yes	yes	yes	yes	86	4.30	20
ORTHOMCL256	1	0	1	1	yes	no	yes	no	86	5.06	17
ORTHOMCL257	1	1	1	1	yes	yes	yes	yes	86	4.30	20
ORTHOMCL258	1	1	1	1	yes	yes	yes	no	86	4.53	19
ORTHOMCL259	1	1	1	1	yes	no	yes	no	86	4.78	18
ORTHOMCL260	1	1	1	1	yes	yes	yes	yes	86	4.30	20
ORTHOMCL261	1	1	1	1	yes	yes	yes	no	86	4.53	19
ORTHOMCL262	1	1	1	1	yes	yes	yes	yes	86	4.30	20
ORTHOMCL263	1	1	1	1	yes	yes	yes	yes	85	4.25	20
ORTHOMCL264	1	0	1	0	yes	no	yes	no	85	6.07	14
ORTHOMCL265	0	0	0	1	no	no	no	no	85	8.50	10
ORTHOMCL266	0	0	0	1	no	no	no	no	85	12.14	7
ORTHOMCL267	0	1	1	1	no	no	yes	no	85	5.31	16
ORTHOMCL268	1	0	1	0	yes	no	yes	no	85	7.08	12
ORTHOMCL269	1	1	1	1	yes	yes	yes	yes	85	4.25	20
ORTHOMCL270	0	0	0	1	no	no	no	yes	85	7.73	11
ORTHOMCL271	0	0	0	0	no	no	no	no	84	16.80	5
ORTHOMCL272	0	0	0	0	no	no	no	no	84	42.00	2
ORTHOMCL273	1	0	1	1	no	no	no	no	84	6.46	13
