amoA [EC:1.14.18.3; EC:1.14.99.39]	0.0000000000000	0.0000000000000	1.4448951019071
amoB [K10945]	1.3187423670418	0.2883566210140	1.5739521062769
amoC [K10946]	1.3153661244879	1.4524404220128	1.9327238257011
hao [EC:1.7.2.6]	0.6593711835209	0.2761329458636	0.9511005548471
narG [EC:1.7.99.4]	57.1238350999788	35.5277311350055	49.2498815725358
narH [EC:1.7.99.4]	19.7568600049698	17.7420930079910	24.2176120980032
narI [EC:1.7.99.4]	4.3542327290732	4.3288424087155	5.1370557806758
narJ [K00373]	12.0555483169279	4.9917446763446	10.7649984366499
napA [EC:1.7.99.4]	36.4203507809683	18.6007802714301	40.2681000228658
napB [K02568]	9.0815835635481	4.3959769494454	7.1375422617468
nirS [EC:1.7.2.1; EC:1.7.99.1]	2.1089027633307	1.7787813991565	3.2278177841910
nirK [EC:1.7.2.1]	86.1194098148899	51.8743918631143	74.8621374998385
norB [EC:1.7.2.5]	58.3621026335802	32.5923253744905	49.0364858697630
norC [K02305]	5.0969825005900	2.6609867902327	1.9525878574082
nosZ [EC:1.7.2.4]	32.7373028679538	20.5621445472503	34.6731932931257
nirB [EC:1.7.1.15]	85.5757791523821	76.9281407454620	104.9214152347730
nirD [EC:1.7.1.15]	26.8141774829427	32.9330118724939	35.0643978875026
nrfA [EC:1.7.2.2]	15.6864147830073	6.1234460052278	13.9356069451839
nrfH [K15876]	7.5717935641505	1.2158952928228	6.6323955910987
narB	5.74975431	3.757335431	6.561864291
NR	0.523804286	0.459374951	1.482404508
nasA	144.8405224	115.03057	112.307959
nasB	2.538792849	1.399137298	3.333388959
nifD [K02586]	2.9932737696090	1.5407964255235	1.8770555963571
nifK [K02591]	1.7586175328507	1.0213246430852	2.4471543541570
nifH [K02588]	3.4871361778277	1.2826940386245	0.9288704772240
anfG [K00531]	0.0000000000000	0.0000000000000	0.0000000000000
nao [EC:1.7.3.1]	0.0000000000000	0.0000000000000	0.0000000000000
nmoA [EC:1.5.1.42]	0.0000000000000	0.0000000000000	0.0000000000000
nmoB [EC:1.14.14.10]	0.0000000000000	0.0000000000000	0.0000000000000
glnA [EC:2.7.7.42]	185.9890655139770	186.8283225638420	186.0392601054760
glnR [EC:6.3.1.2]	677.6548935786230	625.4939886257900	647.8537974664700
ureC [EC:3.5.1.5]	131.1166424668870	132.8528345269910	121.5488411291220
gdhA [EC:1.4.1.3]	210.8467826600090	189.8780036611200	211.7147291526130
gdhB [EC:1.4.1.4]	25.7400071762280	27.4453653210491	24.9347228536820
